tekno,14582689866.9,590173975.9,4.0,12,24
gyo,16018640573.3,-631325867.2,-3.9,13,33
banka,24254873046.7,-439762603.7,-1.8,3,5
bist30,74517800468.4,-2524242375.5,-3.4,6,20
harz,32975482384.8,-1264284630.1,-3.8,22,73
bist500,134755221130.6,-5623132416.4,-4.2,117,278
enerji,10425041705.7,-304959221.3,-2.9,7,25
bist100,107978750379.4,-3745108325.4,-3.5,21,71
fonlar,1105036582.7,-371359836.9,-33.6,5,4
fin_sigorta,2142556522.6,-365918644.6,-17.1,4,7
cim_ins,6232579928.0,80085599.0,1.3,6,17
bist_100_disi,53642095638.3,-3296631670.2,-6.1,100,224
