tekno,26806559880.4,-2193429809.3,-8.2,8,28
gyo,15814167051.8,-268087080.9,-1.7,23,23
banka,36041428733.1,2322402568.2,6.4,5,2
bist30,110931966890.8,-5422657532.3,-4.9,10,15
harz,54860129820.3,-4722254720.5,-8.6,41,54
bist500,183232860762.4,-8484389941.0,-4.6,164,228
enerji,10319699318.5,-575268582.4,-5.6,11,21
bist100,162130100330.1,-7232160154.0,-4.5,40,51
fonlar,913234464.6,101187569.2,11.1,4,7
fin_sigorta,2370895312.0,54799680.9,2.3,4,7
cim_ins,3429230141.8,-203161505.8,-5.9,7,16
bist_100_disi,53825012708.6,-1227983951.9,-2.3,134,187
