hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alfas,330766467,96656370.0,28.999999999999996,20.23
asgyo,52123383,5119108.0,10.0,1.13
atakp,16302097,1381477.0,8.0,3.33
astor,1361133089,11190119.0,1.0,0.98
aztek,49702518,-4285720.0,-9.0,-3.88
barma,13837490,641740.0,5.0,0.77
begyo,217053706,35761625.0,16.0,1.54
bieny,42043711,-7223796.0,-17.0,-5.34
bigch,89396532,-13119448.0,-15.0,-4.37
binho,87842998,-20394984.0,-23.0,-64.24
bmstl,73815914,-8978186.0,-12.0,-3.97
borls,98129333,14702069.0,15.0,12.15
brkvy,157569888,-12160798.0,-8.0,-4.52
bvsan,132766871,-10141936.0,-8.0,-8.76
bydnr,9357943,1769408.0,19.0,4.31
cates,26811541,-164450.0,-1.0,-0.21
conse,25841695,-1969512.0,-8.0,-0.2
cvkmd,202119444,-28517719.0,-14.000000000000002,-1.38
cwene,75019626,-5264713.0,-7.000000000000001,-1.34
dapgm,63532347,1667074.0,3.0,0.18
dmrgd,33101183,4968778.0,15.0,1.94
dofer,55173434,-8137352.0,-15.0,-4.04
ebebk,27304182,1970852.0,7.000000000000001,4.22
ekos,20012241,-32677.0,-0.0,-0.04
eksun,57973648,8075206.0,14.000000000000002,0.91
enery,172844700,-45468762.0,-26.0,-57.71
ensri,23382840,-545961.0,-2.0,-0.42
eupwr,205203089,8409803.0,4.0,1.52
euren,60810997,-659905.0,-1.0,-0.04
eygyo,16593170,2365524.0,14.000000000000002,1.05
forte,43105910,908623.0,2.0,1.22
fzlgy,56644014,2915834.0,5.0,1.64
gipta,158996725,21139991.0,13.0,6.18
goknr,154302576,4182114.0,3.0,0.62
grsel,258199462,-49109406.0,-19.0,-43.27
gznmi,26140089,2361195.0,9.0,6.4
hatsn,27560245,-7052690.0,-26.0,-11.07
hktm,23090905,-146377.0,-1.0,-0.11
httbt,49638233,538667.0,1.0,0.43
imasm,27714063,-1885454.0,-7.000000000000001,-0.18
inves,50990441,-8944914.0,-18.0,-31.6
izenr,196432412,37304950.0,19.0,0.97
kayse,168079069,16447193.0,10.0,1.88
kcaer,96071189,-13882207.0,-14.000000000000002,-1.65
klrho,45189690,-1096817.0,-2.0,-0.69
klser,48264175,2576087.0,5.0,1.78
klsyn,25984942,-2171562.0,-8.0,-0.43
kmpur,21990382,-590426.0,-3.0,-0.49
kopol,60656024,93973.0,0.0,0.01
krpls,12090112,390576.0,3.0,0.22
ktlev,337668602,5064146.0,1.0,0.97
kzgyo,15533488,203679.0,1.0,0.26
lider,35296495,-647080.0,-2.0,-2.7
macko,22550376,-190631.0,-1.0,-0.93
makim,23556817,2275662.0,10.0,1.99
marbl,26226950,-3619708.0,-14.000000000000002,-1.64
mekag,17233641,4369752.0,25.0,11.01
mhrgy,19741773,-223864.0,-1.0,-0.05
obase,35474717,7572844.0,21.0,6.81
ofsym,14770295,147991.0,1.0,0.39
oncsm,31574108,-5735123.0,-18.0,-18.68
ozsub,44909666,2067181.0,5.0,1.66
paseu,147382794,-23344419.0,-16.0,-5.12
pcilt,17950290,-325286.0,-2.0,-0.32
pltur,96538722,-24657131.0,-26.0,-7.52
pnlsn,29217369,1899591.0,7.000000000000001,2.88
prdgs,16815701,164465.0,1.0,0.05
psgyo,82889202,3760015.0,5.0,0.07
reedr,216295722,-14481495.0,-7.000000000000001,-0.86
rnpol,9822402,-3471360.0,-35.0,-9.02
rubns,19634744,-2163021.0,-11.0,-2.76
sdttr,53293989,-11097023.0,-21.0,-40.74
segyo,37895302,5945733.0,16.0,0.73
skymd,202804803,44411437.0,22.0,4.71
smrtg,163646575,9606380.0,6.0,2.4
snica,38469436,-727012.0,-2.0,-0.09
soke,17241141,594227.0,3.0,0.4
suntk,62993105,-3544400.0,-6.0,-2.07
suwen,28779873,6394244.0,22.0,5.13
tabgd,192735225,-3979115.0,-2.0,-3.45
tarkm,33122064,-863018.0,-3.0,-10.01
taten,283218792,5697271.0,2.0,1.03
tera,15936644,1961160.0,12.0,4.74
tnztp,29669185,271953.0,1.0,0.47
vrgyo,29707716,-190443.0,-1.0,-0.02
yylgd,32782164,-2336570.0,-7.000000000000001,-0.66
patek,119275102,-6685907.0,-6.0,-5.1
OBAMS,195915670,-42765704.0,-22.0,-13.75
LMKDC,197728637,-12416832.0,-6.0,-1.86
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tatgd,19821396,2482343.0,13.0,1.54
odas,219591711,-17501111.0,-8.0,-0.44
cwene,75019626,-5264713.0,-7.000000000000001,-1.34
uluun,21925375,1419938.0,6.0,0.39
AYDEM,40066014,-5279959.0,-13.0,-2.85
conse,25841695,-1969512.0,-8.0,-0.2
ASELS,4480416886,-871687427.0,-19.0,-16.12
TUPRS,2353899095,-515858187.0,-22.0,-30.67
KCHOL,5061649939,-468260397.0,-9.0,-15.19
ARCLK,398315052,-7699277.0,-2.0,-2.5
EREGL,5176841321,-668248052.0,-13.0,-2.96
KRDMD,1251224260,-16430851.0,-1.0,-0.37
SAHOL,1231128978,-191218785.0,-16.0,-15.11
SASA,1802325261,-71686069.0,-4.0,-0.14
ENJSA,241617027,-20812791.0,-9.0,-5.26
AKSA,141155197,-14008747.0,-10.0,-1.19
HEKTS,318338395,-15595329.0,-5.0,-0.17
TKFEN,582756150,3891662.0,1.0,0.43
SISE,1081784163,-104578295.0,-10.0,-3.64
EKGYO,2514887923,-237618400.0,-9.0,-1.34
SOKE,17241141,594227.0,3.0,0.4
KLKIM,62833352,-3922113.0,-6.0,-1.93
MEPET,6162571,-1444443.0,-23.0,-2.09
BJKAS,251477831,6092540.0,2.0,0.12
TUREX,67479984,-11119792.0,-16.0,-27.56
ALGYO,49100086,-16187595.0,-33.0,-6.43
GMSTR,239030667,22828843.0,10.0,22.29
KUYAS,90331713,11121537.0,12.0,2.79
ISGYO,79187658,-2759048.0,-3.0,-0.68
SELEC,98731800,6912103.0,7.000000000000001,4.68
KRONT,25152933,942995.0,4.0,0.79
USDTR,77438124,-2587471.0,-3.0,-112.51
ISFIN,34606256,1148933.0,3.0,0.42
BAGFS,16123532,-2644816.0,-16.0,-3.56
SARKY,42692056,4273671.0,10.0,1.88
ASTOR,1361133089,11190119.0,1.0,0.98
BTCIM,339333467,-32584580.0,-10.0,-0.42
LKMNH,27843552,5105186.0,18.0,3.73
ERBOS,13055073,1008241.0,8.0,13.35
RAYSG,162903350,-22670676.0,-14.000000000000002,-51.28
DMSAS,48050112,1999245.0,4.0,0.41
KZBGY,32827170,-3307950.0,-10.0,-0.54
YATAS,24830137,1116103.0,4.0,1.23
DOCO,58902940,4540515.0,8.0,568.49
ESCOM,39973458,4940352.0,12.0,6.02
OZSUB,44909666,2067181.0,5.0,1.66
KLMSN,29995613,-3526943.0,-12.0,-3.09
SUMAS,114472676,0.0,0.0,0.0
KARTN,64877515,8634585.0,13.0,14.55
IPEKE,293396671,26569764.0,9.0,5.39
DOBUR,71297142,-7885317.0,-11.0,-21.11
SAFKR,52935411,7385878.0,14.000000000000002,8.09
HTTBT,49638233,538667.0,1.0,0.43
SONME,8814840,-128836.0,-1.0,-1.25
FROTO,1490820894,-7558578.0,-1.0,-4.7
EMKEL,112347817,2073245.0,2.0,0.32
RYGYO,51957830,6669261.0,13.0,2.06
LOGO,86493255,-5354693.0,-6.0,-7.16
KOZAL,1879770586,267447695.0,14.000000000000002,3.39
ALCTL,73130427,6317094.0,9.0,12.29
DIRIT,320138913,0.0,0.0,0.0
EUHOL,1044004646,0.0,0.0,0.0
MIATK,238057186,-21894068.0,-9.0,-3.35
OSTIM,102026485,2483761.0,2.0,0.26
