tekno,9895045628.9,-525809370.9,-5.3,7,29
gyo,25775769533.3,2265066984.8,8.8,17,28
banka,38538563913.1,4083436964.6,10.6,7,0
bist30,78031660089.5,3267095286.7,4.2,14,11
harz,19102030608.6,-585856375.8,-3.1,30,64
bist500,142210034960.4,237441033.1,0.2,131,262
enerji,7734421542.4,-535838786.6,-6.9,10,22
bist100,127588094146.9,3958502000.2,3.1,43,47
fonlar,293013055.8,-101846337.0,-34.8,4,7
fin_sigorta,3670766824.9,154043343.8,4.2,4,7
cim_ins,3736731439.4,-169138230.6,-4.5,7,16
bist_100_disi,35845897558.1,-1424929835.6,-4.0,95,228
