tekno,7018736511.7,-89887548.5,-1.3,18,18
gyo,10621715964.4,1412347832.3,13.3,30,15
banka,31778922811.7,5637175039.6,17.7,6,0
bist30,44074946464.0,6901289311.8,15.7,21,3
harz,12536779602.4,453533688.4,3.6,56,39
bist500,90786775826.8,7989913649.3,8.8,240,156
enerji,2976554642.2,157765745.2,5.3,22,10
bist100,59869175333.7,7879904528.8,13.2,71,19
fonlar,2268838826.9,405680963.5,17.9,6,5
fin_sigorta,3019097035.7,-382668388.7,-12.7,6,5
cim_ins,4214181699.3,153431539.9,3.6,12,11
bist_100_disi,41665950273.1,1086310799.7,2.6,183,144
