tekno,20785310374.8,-1470406224.1,-7.1,18,18
gyo,10618251065.2,-342016073.2,-3.2,22,24
banka,40749940974.2,3238864617.2,7.9,6,1
bist30,96099731537.3,1699926984.2,1.8,20,5
harz,23861733329.8,-555813173.3,-2.3,47,47
bist500,140768374030.2,-973774617.7,-0.7,220,175
enerji,6493768306.7,144579009.0,2.2,18,14
bist100,121861868002.5,2167853568.8,1.8,61,29
fonlar,1158327375.1,106943352.1,9.2,3,6
fin_sigorta,2724387028.1,219608765.0,8.1,6,5
cim_ins,4464371055.4,10001796.7,0.2,10,13
bist_100_disi,38869047371.0,-536851322.6,-1.4,172,152
