hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,632889275,6213591.0,1.0,0.17
asels,17609690151,983191819.0,6.0,20.55
reedr,110958467,-1646803.0,-1.0,-0.1
miatk,1023271952,108620757.0,11.0,3.51
sdttr,119704391,-11351023.0,-9.0,-22.93
ingrm,13728832,-911417.0,-7.000000000000001,-26.42
atatp,457250611,47376984.0,10.0,26.39
alctl,66912626,-1031501.0,-2.0,-2.56
karel,112741295,-4510570.0,-4.0,-0.41
aztek,18984443,-4956297.0,-26.0,-1.18
httbt,16066140,511907.0,3.0,1.18
logo,47007757,-4299862.0,-9.0,-12.55
ardyz,392315565,20019687.0,5.0,3.62
indes,152173471,-17590721.0,-12.0,-1.29
mobtl,28300019,2659723.0,9.0,1.36
penta,19404182,-139231.0,-1.0,-0.1
netas,22016603,8650679.0,39.0,24.78
arena,15402192,-734190.0,-5.0,-1.17
escom,117668458,-761579.0,-1.0,-0.04
papil,88910388,-17454374.0,-20.0,-2.79
forte,118501183,-2681832.0,-2.0,-2.39
link,108365075,-13087515.0,-12.0,-0.76
vbtyz,128780455,15717866.0,12.0,3.84
fonet,220944897,27793806.0,13.0,0.67
mtrks,30304785,2472794.0,8.0,2.21
edata,152792949,-8692220.0,-6.0,-1.1
kfein,52818640,5565206.0,11.0,0.97
pkart,127084763,-12839630.0,-10.0,-14.17
obase,76551561,-8025620.0,-10.0,-4.85
kront,15310395,1201278.0,8.0,1.73
smart,45371830,4984149.0,11.0,2.87
dgate,29872814,1442733.0,5.0,5.1
despc,78544262,-12044339.0,-15.0,-8.13
manas,818506764,136849675.0,17.0,5.62
odine,369751241,17288374.0,5.0,103.48
patek,166562541,3912366.0,2.0,0.49
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,55843364,8033191.0,14.000000000000002,14.05
ekgyo,3478699780,-210228992.0,-6.0,-1.19
zrgyo,35564726,-3296847.0,-9.0,-1.73
srvgy,32929820,1673942.0,5.0,0.13
rygyo,45466781,9034946.0,20.0,6.45
isgyo,75857152,6373009.0,8.0,2.24
basgz,11548184,-1048513.0,-9.0,-4.16
aksgy,10885199,176124.0,2.0,0.15
ozkgy,40747867,1576730.0,4.0,0.51
dggyo,11000867,935253.0,9.0,3.42
psgyo,1183126644,454923691.0,38.0,1.34
yggyo,22493538,8158330.0,36.0,79.88
akmgy,6103786,-2145351.0,-35.0,-86.0
asgyo,41042197,-7676220.0,-19.0,-2.23
hlgyo,74680254,2472276.0,3.0,0.18
adgyo,37850835,8718289.0,23.0,11.92
akfgy,46500087,3106831.0,7.000000000000001,0.19
tsgyo,3645297,154237.0,4.0,0.26
surgy,157679885,32011257.0,20.0,14.35
klgyo,23970204,231343.0,1.0,0.05
algyo,217346589,19193247.0,9.0,0.32
kzbgy,65447930,7887144.0,12.0,0.27
sngyo,21081010,-2579374.0,-12.0,-0.44
vkgyo,31690790,2417670.0,8.0,0.2
pekgy,1798060784,233383926.0,13.0,1.95
fzlgy,229021411,-26183956.0,-11.0,-1.58
begyo,22210225,6276882.0,28.000000000000004,1.08
segyo,16189799,-3258711.0,-20.0,-0.91
pehol,1267736210,-321660536.0,-25.0,-10.57
nugyo,32673924,2459218.0,8.0,0.7
agyo,1713543,-160811.0,-9.0,-0.77
dzgyo,12102968,3496360.0,28.999999999999996,2.32
msgyo,15093711,-336169.0,-2.0,-0.14
mrgyo,361450246,30076131.0,8.0,0.12
krgyo,10181940,544758.0,5.0,0.13
ozgyo,480768525,33817234.0,7.000000000000001,0.18
kgyo,152231885,-14658474.0,-10.0,-0.95
avgyo,340352300,-1032064.0,-0.0,-0.05
tdgyo,12714168,498756.0,4.0,0.62
atagy,1232912,287293.0,23.0,2.65
idgyo,11247719,525520.0,5.0,0.19
mhrgy,11022725,1434808.0,13.0,0.46
avpgy,20678392,2705990.0,13.0,6.97
vrgyo,29835806,2997060.0,10.0,0.2
kzgyo,13028742,-390061.0,-3.0,-0.65
eygyo,38119552,-1333056.0,-3.0,-0.09
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,3691221068,-60071344.0,-2.0,-2.04
isctr,6863411651,639132839.0,9.0,1.21
halkb,1322630710,-146324902.0,-11.0,-4.13
vakbn,893988162,26095920.0,3.0,0.89
akbnk,7672331734,-345161589.0,-4.0,-2.99
skbnk,903421389,-92101186.0,-10.0,-1.49
albrk,151266168,12517654.0,8.0,0.69
ykbnk,7519006540,1108683467.0,15.0,4.87
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,312853279,22563831.0,7.000000000000001,7.76
arclk,111812841,-276595.0,-0.0,-0.24
asels,17609690151,983191819.0,6.0,20.55
astor,8441818710,324828454.0,4.0,11.43
bimas,4118709979,317751597.0,8.0,30.5
ekgyo,3478699780,-210228992.0,-6.0,-1.19
enkai,929162399,-50885647.0,-5.0,-5.0
eregl,4081289715,135421405.0,3.0,1.4
froto,1408544153,-134384439.0,-10.0,-7.77
gubrf,1218301319,147374974.0,12.0,51.51
hekts,1601996969,157307581.0,10.0,0.3
kchol,4847320813,467431651.0,10.0,19.68
trmet,874507764,152726945.0,17.0,20.96
tralt,10342090642,-636393054.0,-6.0,-3.08
krdmd,2587716591,-130240667.0,-5.0,-2.14
odas,665558942,60288550.0,9.0,0.78
petkm,1975080944,238864849.0,12.0,2.65
pgsus,1208172548,-27525721.0,-2.0,-3.72
sahol,2596546795,185440014.0,7.000000000000001,6.35
sasa,15262594549,1886503223.0,12.0,0.32
sise,1491718861,160290064.0,11.0,4.67
tavhl,954107284,164521116.0,17.0,47.49
tcell,2020017906,-49194774.0,-2.0,-2.71
thyao,11347577766,627074637.0,6.0,17.52
toaso,737317556,-21369770.0,-3.0,-8.62
tuprs,6933755824,896806431.0,13.0,40.46
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,34820934,5951686.0,17.0,2.58
a1cap,87381442,6410951.0,7.000000000000001,0.72
adgyo,37850835,8718289.0,23.0,11.92
agrot,40475553,4338489.0,11.0,0.27
ahgaz,91370858,-3166313.0,-3.0,-1.24
akfye,343023285,-44974605.0,-13.0,-3.55
alfas,123785294,-18591811.0,-15.0,-7.02
asgyo,41042197,-7676220.0,-19.0,-2.23
atakp,24146777,-792191.0,-3.0,-1.8
astor,8441818710,324828454.0,4.0,11.43
aztek,18984443,-4956297.0,-26.0,-1.18
barma,22464410,0.0,0.0,0.0
begyo,22210225,6276882.0,28.000000000000004,1.08
bieny,369149701,42879466.0,12.0,2.79
bigch,160979138,-12441269.0,-8.0,-0.55
binho,392549063,-26395915.0,-7.000000000000001,-0.75
bmstl,80914782,-1118440.0,-1.0,-0.62
borls,29577809,-444952.0,-2.0,-0.09
brkvy,20494743,-5700882.0,-28.000000000000004,-23.11
bvsan,62259295,-1119538.0,-2.0,-2.14
bydnr,11414867,-975245.0,-9.0,-3.38
cates,97385451,-3796166.0,-4.0,-1.72
conse,12921645,2165734.0,17.0,0.42
cvkmd,494533770,52021843.0,11.0,4.02
cwene,3986916744,1147330498.0,28.999999999999996,11.76
dapgm,4044564757,784311242.0,19.0,1.92
dmrgd,400066420,58157835.0,15.0,1.9
dofer,8802207,543472.0,6.0,1.87
ebebk,56026854,10698340.0,19.0,16.42
ekos,75442989,-7723416.0,-10.0,-0.63
eksun,88950381,11648563.0,13.0,0.93
enery,359008335,-4780407.0,-1.0,-0.13
ensri,292231272,-33942013.0,-12.0,-0.73
eupwr,4191861850,-564959714.0,-13.0,-13.69
euren,120494460,12546005.0,10.0,0.43
eygyo,38119552,-1333056.0,-3.0,-0.09
forte,118501183,-2681832.0,-2.0,-2.39
fzlgy,229021411,-26183956.0,-11.0,-1.58
gipta,72290061,-15631740.0,-22.0,-13.18
goknr,79246072,-5766057.0,-7.000000000000001,-1.78
grsel,127012602,-11087356.0,-9.0,-28.16
gznmi,781090219,-40869390.0,-5.0,-3.44
hatsn,310966971,43542928.0,14.000000000000002,8.16
hktm,37151669,6375399.0,17.0,1.86
httbt,16066140,511907.0,3.0,1.18
imasm,35609742,-989268.0,-3.0,-0.08
inves,42717646,-10961140.0,-26.0,-167.78
izenr,776757088,125603280.0,16.0,1.56
kayse,28952542,-651170.0,-2.0,-0.09
kcaer,99151015,-5509358.0,-6.0,-0.77
klrho,573349352,-16439332.0,-3.0,-2.41
klser,39759570,-1374464.0,-3.0,-0.9
klsyn,126753628,-1782010.0,-1.0,-0.21
kmpur,33444459,-899390.0,-3.0,-0.52
kopol,114575575,296100.0,0.0,0.02
krpls,37897932,7222336.0,19.0,1.75
ktlev,3396675192,-231205286.0,-7.000000000000001,-11.89
kzgyo,13028742,-390061.0,-3.0,-0.65
lider,1078991971,-129648526.0,-12.0,-14.46
macko,18090842,1729620.0,10.0,3.15
makim,25343770,2253786.0,9.0,1.54
marbl,16443155,-456168.0,-3.0,-0.36
mekag,34131906,247929.0,1.0,0.02
mhrgy,11022725,1434808.0,13.0,0.46
obase,76551561,-8025620.0,-10.0,-4.85
ofsym,37128721,8466355.0,23.0,11.76
oncsm,193496027,-1195180.0,-1.0,-1.69
ozsub,71360762,11215153.0,16.0,5.24
paseu,910952421,30900431.0,3.0,3.78
pcilt,51846794,1143037.0,2.0,0.78
pltur,33410564,5881554.0,18.0,3.97
pnlsn,72024684,11702075.0,16.0,7.84
prdgs,39150007,7733599.0,20.0,1.48
psgyo,1183126644,454923691.0,38.0,1.34
reedr,110958467,-1646803.0,-1.0,-0.1
rnpol,4063237,796689.0,20.0,0.46
rubns,33015720,-293110.0,-1.0,-0.2
sdttr,119704391,-11351023.0,-9.0,-22.93
segyo,16189799,-3258711.0,-20.0,-0.91
skymd,35988455,713506.0,2.0,0.29
smrtg,275065739,-28515670.0,-10.0,-1.22
snica,68334175,12011160.0,18.0,0.68
soke,58147448,-2556456.0,-4.0,-0.8
suntk,154662434,-22492630.0,-15.0,-5.49
suwen,87612306,-16166596.0,-18.0,-1.44
tabgd,304964758,114531499.0,38.0,88.8
tarkm,33453678,2355684.0,7.000000000000001,33.74
taten,700472285,-23012896.0,-3.0,-0.46
tera,2655581576,-380594182.0,-14.000000000000002,-23.32
tnztp,40317390,-2339254.0,-6.0,-1.44
vrgyo,29835806,2997060.0,10.0,0.2
yylgd,47689688,4501947.0,9.0,1.01
patek,166562541,3912366.0,2.0,0.49
OBAMS,347146577,79806798.0,23.0,1.23
LMKDC,398181573,38357755.0,10.0,2.32
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hubvc,13067154,3266881.0,25.0,0.77
tatgd,45077519,1689584.0,4.0,0.73
odas,665558942,60288550.0,9.0,0.78
cwene,3986916744,1147330498.0,28.999999999999996,11.76
uluun,120985066,28755948.0,24.0,2.25
AYDEM,56154503,-11532093.0,-21.0,-5.48
conse,12921645,2165734.0,17.0,0.42
ASELS,17609690151,983191819.0,6.0,20.55
TUPRS,6933755824,896806431.0,13.0,40.46
KCHOL,4847320813,467431651.0,10.0,19.68
ARCLK,111812841,-276595.0,-0.0,-0.24
EREGL,4081289715,135421405.0,3.0,1.4
KRDMD,2587716591,-130240667.0,-5.0,-2.14
SAHOL,2596546795,185440014.0,7.000000000000001,6.35
SASA,15262594549,1886503223.0,12.0,0.32
ENJSA,391785876,44050496.0,11.0,12.22
AKSA,265807448,-19968884.0,-8.0,-0.9
HEKTS,1601996969,157307581.0,10.0,0.3
TKFEN,394737609,-17039510.0,-4.0,-6.31
SISE,1491718861,160290064.0,11.0,4.67
EKGYO,3478699780,-210228992.0,-6.0,-1.19
SOKE,58147448,-2556456.0,-4.0,-0.8
KLKIM,33934497,554095.0,2.0,0.44
MEPET,7352695,-653692.0,-9.0,-1.82
BJKAS,260637504,27820152.0,11.0,0.2
TUREX,205768289,24909279.0,12.0,0.85
ALGYO,217346589,19193247.0,9.0,0.32
GMSTR,456528656,92191773.0,20.0,111.34
KUYAS,631677154,157344895.0,25.0,16.18
ISGYO,75857152,6373009.0,8.0,2.24
SELEC,352468606,60567435.0,17.0,41.94
KRONT,15310395,1201278.0,8.0,1.73
USDTR,9075119,927845.0,10.0,449.1
ISFIN,29127141,-6060146.0,-21.0,-4.04
BAGFS,8789863,-347258.0,-4.0,-0.99
SARKY,137279521,13737473.0,10.0,2.61
ASTOR,8441818710,324828454.0,4.0,11.43
BTCIM,401649552,8255689.0,2.0,0.11
LKMNH,7066911,468489.0,7.000000000000001,0.98
ERBOS,10135387,420371.0,4.0,6.86
RAYSG,16784030,2069095.0,12.0,21.26
DMSAS,87932790,-5902345.0,-7.000000000000001,-0.61
KZBGY,65447930,7887144.0,12.0,0.27
YATAS,24323870,-5523424.0,-23.0,-8.16
DOCO,19604882,2018815.0,10.0,1127.83
ESCOM,117668458,-761579.0,-1.0,-0.04
OZSUB,71360762,11215153.0,16.0,5.24
KLMSN,20520831,1126511.0,5.0,1.64
SUMAS,751087,0.0,0.0,0.0
KARTN,354098419,49301159.0,14.000000000000002,29.92
trenj,193122932,40843549.0,21.0,19.81
SAFKR,53415119,-5750182.0,-11.0,-2.12
HTTBT,16066140,511907.0,3.0,1.18
SONME,3219237,-252174.0,-8.0,-9.72
FROTO,1408544153,-134384439.0,-10.0,-7.77
EMKEL,92021276,-10217812.0,-11.0,-2.38
RYGYO,45466781,9034946.0,20.0,6.45
LOGO,47007757,-4299862.0,-9.0,-12.55
trmet,874507764,152726945.0,17.0,20.96
ALCTL,66912626,-1031501.0,-2.0,-2.56
DIRIT,1539897,0.0,0.0,0.0
EUHOL,4901704,0.0,0.0,0.0
MIATK,1023271952,108620757.0,11.0,3.51
OSTIM,20046633,-1600670.0,-8.0,-0.14
GSDDE,68220839,-11015203.0,-16.0,-2.25
AVTUR,5155870,411411.0,8.0,1.21
ORGE,56588923,-8122155.0,-14.000000000000002,-15.51
QUAGR,827333300,94323594.0,11.0,0.45
TEZOL,34820934,5951686.0,17.0,2.58
KTSKR,72968844,3392096.0,5.0,4.75
AGESA,20914360,-1649171.0,-8.0,-19.28
TTRAK,76488210,9326352.0,12.0,50.98
BIOEN,114972152,-5355695.0,-5.0,-0.81
MTRYO,1145270,361298.0,32.0,3.21
KLGYO,23970204,231343.0,1.0,0.05
JANTS,31101449,4797066.0,15.0,2.42
ANSGR,158402550,-16716472.0,-11.0,-2.89
EGSER,13102833,2037441.0,16.0,0.47
BRKO,7885767,0.0,0.0,0.0
MAALT,48433458,7925657.0,16.0,177.16
SAMAT,8731297,1414714.0,16.0,0.93
KNFRT,70881983,4090918.0,6.0,0.71
Z30KP,211265722,-79450452.0,-38.0,-100.45
BRMEN,7760410,0.0,0.0,0.0
DENGE,19038997,486071.0,3.0,0.06
GEREL,388617822,-3892814.0,-1.0,-0.37
ETYAT,9096859,-1198411.0,-13.0,-1.71
cvkmd,494533770,52021843.0,11.0,4.02
PGSUS,1208172548,-27525721.0,-2.0,-3.72
PSGYO,1183126644,454923691.0,38.0,1.34
CEMAS,34330041,8172611.0,24.0,1.0
ADESE,96595888,24664827.0,26.0,0.23
SANKO,3909934,-659414.0,-17.0,-3.38
ANHYT,116833933,35987289.0,31.0,32.06
PNLSN,72024684,11702075.0,16.0,7.84
GENIL,192807973,42711647.0,22.0,2.04
ZOREN,154737621,10815116.0,7.000000000000001,0.18
CMENT,1005466,0.0,0.0,0.0
BOSSA,74267231,2890758.0,4.0,0.27
SRVGY,32929820,1673942.0,5.0,0.13
VANGD,13475412,-194543.0,-1.0,-1.32
PRKAB,94397948,2954119.0,3.0,1.16
ARASE,16638335,-1779275.0,-11.0,-13.3
PRKME,23523179,-1169976.0,-5.0,-0.9
KFEIN,52818640,5565206.0,11.0,0.97
AGYO,1713543,-160811.0,-9.0,-0.77
KRDMB,188300858,-11142632.0,-6.0,-7.84
GRSEL,127012602,-11087356.0,-9.0,-28.16
FONET,220944897,27793806.0,13.0,0.67
HATEK,18689150,4356962.0,23.0,3.49
ZPLIB,756666591,7250748.0,1.0,1.75
ORMA,931920,0.0,0.0,0.0
DGATE,29872814,1442733.0,5.0,5.1
VERTU,41242401,44201.0,0.0,0.04
IDGYO,11247719,525520.0,5.0,0.19
CCOLA,594743226,64566368.0,11.0,10.04
TRCAS,42940781,-2311507.0,-5.0,-2.47
BNTAS,15881674,-3240782.0,-20.0,-1.25
DESPC,78544262,-12044339.0,-15.0,-8.13
KONYA,17450928,2308960.0,13.0,499.45
BAYRK,58037377,-2597650.0,-4.0,-0.21
INFO,107472777,15762707.0,15.0,0.93
SAYAS,127542327,-6139815.0,-5.0,-2.4
MTRKS,30304785,2472794.0,8.0,2.21
GLYHO,23376994,-1961947.0,-8.0,-1.46
FLAP,13495744,2929014.0,22.0,2.27
ODAS,665558942,60288550.0,9.0,0.78
BRLSM,61275095,-6511821.0,-11.0,-1.73
GLRYH,34749449,2527790.0,7.000000000000001,0.23
PSDTC,15645225,-2773502.0,-18.0,-21.9
ATAGY,1232912,287293.0,23.0,2.65
Z30EA,360309,9001.0,2.0,4.9
EGGUB,35508726,-497608.0,-1.0,-1.43
ERCB,27862208,-3943071.0,-14.000000000000002,-7.03
AKSGY,10885199,176124.0,2.0,0.15
EGEEN,29567328,920552.0,3.0,172.23
OYAYO,1137469,11803.0,1.0,0.48
ECZYT,714061314,14461398.0,2.0,7.31
SEKFK,12757876,-5698935.0,-45.0,-4.32
DAGI,108230480,4662602.0,4.0,0.42
KERVN,10163680,0.0,0.0,0.0
SKTAS,37007601,663473.0,2.0,0.06
DURDO,5648308,-2226230.0,-39.0,-2.01
INDES,152173471,-17590721.0,-12.0,-1.29
NATEN,36893781,8474678.0,23.0,1.46
SMART,45371830,4984149.0,11.0,2.87
KIMMR,16559581,3152886.0,19.0,2.89
TUKAS,119040143,7754672.0,7.000000000000001,0.14
ENSRI,292231272,-33942013.0,-12.0,-0.73
PAMEL,8493512,-1813681.0,-21.0,-17.78
ZPX30,320893088,49333168.0,15.0,32.46
VAKFN,25459568,1009158.0,4.0,0.05
POLHO,78672382,-5512090.0,-7.000000000000001,-1.56
EMNIS,655392,0.0,0.0,0.0
BERA,111403777,-4013642.0,-4.0,-0.49
DYOBY,43717534,10847263.0,25.0,3.41
TRILC,11499112,0.0,0.0,0.0
ECILC,333947190,-8494106.0,-3.0,-1.87
KARSN,104333334,13787345.0,13.0,1.44
LINK,108365075,-13087515.0,-12.0,-0.76
MERCN,53801579,-7482969.0,-14.000000000000002,-3.4
AKGRT,27839563,1882464.0,7.000000000000001,0.48
YESIL,21282167,4019742.0,19.0,0.24
HDFGS,414424485,29943934.0,7.000000000000001,0.22
ELITE,28948809,5665850.0,20.0,6.21
Z30KE,6126653,-1155248.0,-19.0,-34.46
INTEM,10698345,-584579.0,-5.0,-14.24
MAGEN,622197425,16271219.0,3.0,1.05
CLEBI,30747018,5012119.0,16.0,248.53
AKMGY,6103786,-2145351.0,-35.0,-86.0
YONGA,1272825,0.0,0.0,0.0
HURGZ,21158619,5597367.0,26.0,1.61
AKSUE,36879370,2872307.0,8.0,3.57
EGPRO,25277937,-154158.0,-1.0,-0.22
TMPOL,357871322,-66228075.0,-19.0,-80.79
DOKTA,8122303,95144.0,1.0,0.27
BASGZ,11548184,-1048513.0,-9.0,-4.16
ADEL,50508154,-5246243.0,-10.0,-3.21
PETUN,11094503,2399300.0,22.0,2.52
BEYAZ,36583659,12802578.0,35.0,8.93
ISSEN,4392631,-253031.0,-6.0,-0.41
PCILT,51846865,1143037.0,2.0,0.78
ULUFA,89372158,-1840118.0,-2.0,-0.04
AFYON,15807368,-1037525.0,-7.000000000000001,-0.85
tralt,10342090642,-636393054.0,-6.0,-3.08
EGEPO,57724062,5450073.0,9.0,1.83
EKIZ,620009,0.0,0.0,0.0
BRISA,11575882,-3867176.0,-33.0,-27.41
KORDS,96547388,-3248983.0,-3.0,-2.46
BRSAN,798331196,-80700966.0,-10.0,-57.39
ENKAI,929162399,-50885647.0,-5.0,-5.0
ISYAT,4079542,-231498.0,-6.0,-0.44
KAREL,112741295,-4510570.0,-4.0,-0.41
IZFAS,343437677,-165402639.0,-48.0,-30.08
SEKUR,6037542,0.0,0.0,0.0
KUTPO,8464562,-1479808.0,-17.0,-14.95
EUYO,3153166,181495.0,6.0,0.29
MGROS,1343579066,20276042.0,2.0,9.66
MMCAS,1043343,0.0,0.0,0.0
AYGAZ,516531346,-42963027.0,-8.0,-23.52
MERIT,33820254,-5982664.0,-18.0,-2.93
LRSHO,52089995,2162442.0,4.0,0.12
TBORG,26642424,4049891.0,15.0,19.5
DERHL,26397482,1704680.0,6.0,0.74
ORCAY,5168204,-254115.0,-5.0,-0.2
FRIGO,139810321,23719460.0,17.0,0.38
TLMAN,14459962,-157233.0,-1.0,-0.93
TTKOM,1754639093,30890111.0,2.0,1.04
EDIP,50226891,-9289169.0,-18.0,-6.67
RYSAS,37666164,-6959665.0,-18.0,-3.78
IHLAS,72883327,3029970.0,4.0,0.05
PAPIL,88910388,-17454374.0,-20.0,-2.79
MEDTR,17539293,-1015056.0,-6.0,-1.53
ARENA,15402192,-734190.0,-5.0,-1.17
GOODY,31578469,-6529293.0,-21.0,-0.55
EPLAS,6618340,-441461.0,-7.000000000000001,-0.36
GENTS,37736759,-628976.0,-2.0,-0.1
NETAS,22016603,8650679.0,39.0,24.78
ARSAN,53560134,-2557692.0,-5.0,-0.17
HLGYO,74680254,2472276.0,3.0,0.18
TCELL,2020017906,-49194774.0,-2.0,-2.71
OTTO,50428940,1800511.0,4.0,6.57
ANELE,1126943669,169236515.0,15.0,17.55
EUKYO,20930935,-2176628.0,-10.0,-1.37
YGGYO,22493538,8158330.0,36.0,79.88
DAPGM,4044564757,784311242.0,19.0,1.92
AYEN,37345756,2423567.0,6.0,2.37
AYCES,135421714,2010222.0,1.0,7.61
PKART,127084763,-12839630.0,-10.0,-14.17
KLSYN,126753628,-1782010.0,-1.0,-0.21
IHEVA,1056344,638463.0,60.0,1.22
GUBRF,1218301319,147374974.0,12.0,51.51
DGGYO,11000867,935253.0,9.0,3.42
DZGYO,12102968,3496360.0,28.999999999999996,2.32
ULKER,580603871,-44072272.0,-8.0,-7.28
NTGAZ,41569290,2142052.0,5.0,0.61
CRDFA,64881962,18552665.0,28.999999999999996,12.05
BSOKE,255832368,450091.0,0.0,0.06
VBTYZ,128780455,15717866.0,12.0,3.84
YEOTK,1183542509,90680189.0,8.0,7.51
BANVT,15129002,-937199.0,-6.0,-9.92
AVOD,14167453,169355.0,1.0,0.05
PAGYO,5582045,1009804.0,18.0,27.48
ALARK,312853279,22563831.0,7.000000000000001,7.76
ICBCT,222590491,5643498.0,3.0,0.6
ARZUM,25650462,-2148896.0,-8.0,-0.15
NUGYO,32673924,2459218.0,8.0,0.7
IZMDC,445809029,21345649.0,5.0,0.59
GLBMD,1948908,-587834.0,-30.0,-3.96
MAVI,98825354,7541510.0,8.0,3.15
OYYAT,10407902,1842200.0,18.0,6.72
PRZMA,91514310,-9051584.0,-10.0,-7.08
DERIM,4859254,-789051.0,-16.0,-5.79
MNDRS,36947355,161144.0,0.0,0.05
IHGZT,9091178,782601.0,9.0,0.11
AVGYO,340352300,-1032064.0,-0.0,-0.05
GWIND,237745249,59172694.0,25.0,6.37
MPARK,289666080,-28229164.0,-10.0,-39.74
ARDYZ,392315565,20019687.0,5.0,3.62
HEDEF,400050172,-26093532.0,-7.000000000000001,-15.11
COSMO,5089388,-46259.0,-1.0,-1.18
PEKGY,1798060784,233383926.0,13.0,1.95
KONTR,74273046,0.0,0.0,0.0
ESCAR,64162675,-10268418.0,-16.0,-7.68
OSMEN,110742164,8072827.0,7.000000000000001,0.67
IHYAY,2604988,433761.0,17.0,0.22
TDGYO,12714168,498756.0,4.0,0.62
ANGEN,21162592,1182459.0,6.0,0.57
SNPAM,564333,0.0,0.0,0.0
EDATA,152792949,-8692220.0,-6.0,-1.1
DESA,9392951,-850531.0,-9.0,-0.94
PENTA,19404182,-139231.0,-1.0,-0.1
SNGYO,21081010,-2579374.0,-12.0,-0.44
GRNYO,8423001,-2036861.0,-24.0,-3.63
GLDTR,101577610,10846699.0,11.0,56.03
BAKAB,32224066,-6423977.0,-20.0,-10.05
ISBTR,5027445,0.0,0.0,0.0
TOASO,737317556,-21369770.0,-3.0,-8.62
BURVA,12696894,2843576.0,22.0,186.28
KRVGD,10251003,1180818.0,12.0,0.31
AEFES,917966618,-6271830.0,-1.0,-0.15
SELVA,38228088,6018059.0,16.0,0.3
INVES,42717646,-10961140.0,-26.0,-167.78
ZGOLD,177356718,106123975.0,60.0,381.14
AGHOL,143962489,-191474.0,-0.0,-0.05
NIBAS,20872981,-1634701.0,-8.0,-0.32
INVEO,35494814,3294131.0,9.0,0.73
AKYHO,3841649,1332063.0,35.0,0.84
KRDMA,650416382,-91053534.0,-14.000000000000002,-6.32
GOZDE,58763202,16795087.0,28.999999999999996,6.69
KRSTL,19683571,2412747.0,12.0,1.3
TAVHL,954107284,164521116.0,17.0,47.49
KATMR,167589930,16775179.0,10.0,0.24
KONKA,39929859,-7190371.0,-18.0,-2.38
OZKGY,40747867,1576730.0,4.0,0.51
DGNMO,40305679,808027.0,2.0,0.16
VKFYO,3246012,-382080.0,-12.0,-3.07
USAK,369221090,105600429.0,28.999999999999996,0.42
GARFA,56602685,-8243256.0,-15.0,-4.18
YAPRK,16480524,1998131.0,12.0,1.33
AKSEN,3475282329,597134121.0,17.0,19.72
YAYLA,20884324,2239195.0,11.0,2.46
SANFM,130004017,-1808122.0,-1.0,-0.14
VAKKO,6868068,-1396019.0,-20.0,-14.58
BFREN,11299708,-631624.0,-6.0,-7.21
SNICA,68334175,12011160.0,18.0,0.68
RALYH,794924203,85853149.0,11.0,28.23
GLCVY,38075259,-2108888.0,-6.0,-3.12
SMRTG,275065739,-28515670.0,-10.0,-1.22
GEDIK,58578366,-4157858.0,-7.000000000000001,-0.49
PINSU,64555987,-4837337.0,-7.000000000000001,-0.86
DOAS,118791153,4017662.0,3.0,6.31
ISDMR,84288179,1592098.0,2.0,1.06
DEVA,67129626,-13572490.0,-20.0,-15.38
GSRAY,189752559,29740148.0,16.0,0.16
OYAKC,416375776,33009577.0,8.0,1.68
ISBIR,1112575,0.0,0.0,0.0
TURSG,585972978,84600036.0,14.000000000000002,0.98
KAPLM,61319832,-1084372.0,-2.0,-8.19
SELGD,77856962,595316.0,1.0,1.11
ZPBDL,9884137,19178.0,0.0,0.51
FENER,369018898,-34981799.0,-9.0,-0.3
GESAN,1558520956,-299589242.0,-19.0,-16.72
