hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,370604657,30882783.0,8.0,7.22
asels,6770367885,1055400618.0,16.0,18.62
reedr,636378460,74003850.0,12.0,1.58
miatk,718377642,-66701410.0,-9.0,-4.03
sdttr,156763145,6589819.0,4.0,8.68
ingrm,38091871,1147887.0,3.0,13.05
atatp,66221718,-9052034.0,-14.000000000000002,-13.55
alctl,111781006,-865841.0,-1.0,-0.93
karel,77338667,-5407905.0,-7.000000000000001,-0.64
aztek,61902923,6259757.0,10.0,4.42
httbt,98586251,20946191.0,21.0,9.25
logo,119728182,3139621.0,3.0,3.48
ardyz,174302529,-7270179.0,-4.0,-1.31
indes,74763846,1696575.0,2.0,0.18
mobtl,68436766,2122383.0,3.0,0.13
penta,48841553,819436.0,2.0,0.26
netas,45413355,-3691454.0,-8.0,-5.05
arena,79730708,-2180401.0,-3.0,-1.34
escom,70940134,10684138.0,15.0,0.44
papil,274735574,46743959.0,17.0,4.27
forte,80782712,29741146.0,37.0,25.88
link,61889793,-4755906.0,-8.0,-36.88
vbtyz,31528956,-5499707.0,-17.0,-3.83
fonet,104047956,15436705.0,15.0,2.27
mtrks,81643314,7564267.0,9.0,2.36
edata,26621692,2381439.0,9.0,0.38
kfein,160030826,13081631.0,8.0,10.09
pkart,26667935,-2780273.0,-10.0,-7.07
obase,15051928,2264050.0,15.0,4.57
kront,16702782,1086049.0,7.000000000000001,1.2
smart,38708762,1908172.0,5.0,1.45
dgate,19931148,-590480.0,-3.0,-1.6
despc,30398763,2644093.0,9.0,4.33
manas,35337663,-878785.0,-2.0,-0.28
odine,359857970,-73922456.0,-21.0,-26.35
patek,1543437138,134483599.0,9.0,8.13
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,149066083,-258588.0,-0.0,-0.11
ekgyo,4373415458,495049661.0,11.0,1.81
zrgyo,245851967,-60190568.0,-24.0,-5.35
srvgy,152010447,12435596.0,8.0,0.28
rygyo,111373735,-4854546.0,-4.0,-0.66
isgyo,113657584,37004139.0,33.0,6.45
basgz,25334562,2960123.0,12.0,3.58
aksgy,60419163,-1308635.0,-2.0,-0.16
ozkgy,65741219,7271483.0,11.0,1.4
dggyo,11113817,-1027084.0,-9.0,-3.65
psgyo,631348612,22657325.0,4.0,0.07
yggyo,29880156,-3005181.0,-10.0,-7.49
akmgy,10703271,-703177.0,-7.000000000000001,-15.29
asgyo,35869627,-2462038.0,-7.000000000000001,-0.77
hlgyo,176741433,1276806.0,1.0,0.02
adgyo,56502128,4526525.0,8.0,2.47
akfgy,91559905,7605611.0,8.0,0.17
tsgyo,49463658,7462751.0,15.0,1.04
surgy,123613200,12890668.0,10.0,4.8
klgyo,114715343,1656851.0,1.0,0.08
algyo,79708514,-90519.0,-0.0,-0.02
kzbgy,525033973,-50899450.0,-10.0,-0.65
sngyo,250745857,6059946.0,2.0,0.09
vkgyo,209168347,42281678.0,20.0,0.46
pekgy,469491837,145969852.0,31.0,0.5
fzlgy,286951112,-2481013.0,-1.0,-0.27
begyo,455333547,10675230.0,2.0,0.33
segyo,64950328,6188085.0,10.0,0.48
pehol,3203868223,202520510.0,6.0,1.23
nugyo,21977128,411240.0,2.0,0.14
agyo,21586868,-8317861.0,-39.0,-2.66
dzgyo,101443507,6456572.0,6.0,0.56
msgyo,50677981,-121206.0,-0.0,-0.04
mrgyo,239520015,24974146.0,10.0,0.16
krgyo,142589485,-22838735.0,-16.0,-1.92
ozgyo,20898719,2814581.0,13.0,0.69
kgyo,23549098,3006144.0,13.0,0.38
ygyo,381266267,1136774.0,0.0,0.02
avgyo,7065847,-1471491.0,-21.0,-1.64
tdgyo,188228251,-2721756.0,-1.0,-0.21
atagy,9786369,-3064638.0,-31.0,-3.51
idgyo,9975278,1247634.0,13.0,0.32
mhrgy,21710040,1825467.0,8.0,0.4
avpgy,279170834,-71216295.0,-26.0,-16.5
vrgyo,54913779,5450193.0,10.0,0.28
kzgyo,30001852,6926876.0,23.0,4.97
eygyo,31546288,2303398.0,7.000000000000001,0.17
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,3640197101,-317943548.0,-9.0,-12.54
isctr,6305169710,109940292.0,2.0,0.29
halkb,1448240429,5630544.0,0.0,0.09
vakbn,907108055,14556162.0,2.0,0.46
akbnk,5104760317,-321129322.0,-6.0,-4.73
skbnk,395500190,38742983.0,10.0,0.43
albrk,89329046,-12432339.0,-14.000000000000002,-1.05
ykbnk,8575248655,-1106768775.0,-13.0,-4.37
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,2060171771,122672128.0,6.0,5.38
arclk,450887961,52516440.0,12.0,17.3
asels,6770367885,1055400618.0,16.0,18.62
astor,2808939322,561233321.0,20.0,23.94
bimas,3426286452,-421990987.0,-12.0,-64.03
ekgyo,4373415458,495049661.0,11.0,1.81
enkai,1479562372,-32120714.0,-2.0,-1.26
eregl,3697721146,-142261132.0,-4.0,-0.98
froto,796702009,55702935.0,7.000000000000001,74.12
