hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,87861616,7348640.0,8.0,6.96
ekgyo,3265227278,684642867.0,21.0,5.12
zrgyo,23651436,-3241161.0,-14.000000000000002,-3.1
srvgy,161607912,25710912.0,16.0,0.54
rygyo,145832846,-9495258.0,-7.000000000000001,-1.94
isgyo,27549092,6339803.0,23.0,5.44
basgz,8978062,2731610.0,30.0,13.72
aksgy,37831414,6540762.0,17.0,1.48
ozkgy,94021380,25140085.0,27.0,4.01
dggyo,3869929,755849.0,20.0,6.16
psgyo,318809326,15614620.0,5.0,0.12
yggyo,68024940,10431157.0,15.0,23.53
akmgy,3605085,661030.0,18.0,40.21
asgyo,30757508,3874503.0,13.0,1.44
hlgyo,130796867,3484171.0,3.0,0.12
adgyo,42700091,1637664.0,4.0,2.45
akfgy,73551321,-9817793.0,-13.0,-0.4
tsgyo,16594266,5235595.0,32.0,2.47
surgy,168690048,1746079.0,1.0,0.54
klgyo,161170434,20225860.0,13.0,0.85
algyo,102959036,-6261404.0,-6.0,-0.32
kzbgy,129461485,6622965.0,5.0,0.66
sngyo,118502873,17470950.0,15.0,0.73
vkgyo,80151695,8558330.0,11.0,0.31
pekgy,1222243158,-28988571.0,-2.0,-0.24
fzlgy,60546796,11427592.0,19.0,2.33
begyo,72373669,-13909794.0,-19.0,-0.93
segyo,81750856,-5745.0,-0.0,-0.0
pehol,1197491393,-71977391.0,-6.0,-0.84
nugyo,26404860,3920415.0,15.0,1.58
agyo,2889049,77994.0,3.0,0.21
dzgyo,30554001,8709516.0,28.999999999999996,2.57
msgyo,22975384,9032659.0,39.0,2.43
mrgyo,110564932,12042830.0,11.0,0.29
krgyo,38544988,-4900277.0,-13.0,-0.4
ozgyo,45996844,8161445.0,18.0,0.38
kgyo,56345567,1380725.0,2.0,0.18
ygyo,11923551,0.0,0.0,0.0
avgyo,43826075,13207678.0,30.0,3.82
tdgyo,60426886,-5718892.0,-9.0,-2.36
atagy,7723801,-759504.0,-10.0,-1.33
idgyo,10436020,-1090212.0,-10.0,-0.44
mhrgy,29524894,3836858.0,13.0,0.48
avpgy,61826866,710586.0,1.0,0.62
vrgyo,70217223,13561485.0,19.0,0.48
kzgyo,44571070,-9251748.0,-21.0,-5.35
eygyo,19783801,3413674.0,17.0,0.59
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,313037076,12955358.0,4.0,0.66
asels,8383729307,533501275.0,6.0,18.56
reedr,98409733,1670987.0,2.0,0.12
miatk,446765897,18729857.0,4.0,1.54
sdttr,140838505,-2132122.0,-2.0,-2.93
ingrm,11241300,-459224.0,-4.0,-17.54
atatp,123849336,28453092.0,23.0,35.35
alctl,74859647,12666126.0,17.0,23.57
karel,86030008,7186672.0,8.0,0.76
aztek,34433189,3333137.0,10.0,0.46
httbt,57947388,-2258917.0,-4.0,-1.76
logo,162168504,5354547.0,3.0,5.13
ardyz,107758185,7157190.0,7.000000000000001,2.95
indes,23503679,6005063.0,26.0,2.16
mobtl,108772403,-12018744.0,-11.0,-1.17
penta,23077679,4296803.0,19.0,2.66
netas,21630589,7015334.0,32.0,20.67
arena,57060488,-3255652.0,-6.0,-1.6
escom,102158849,8868186.0,9.0,0.33
papil,221427209,137953.0,0.0,0.01
forte,107845546,7465505.0,7.000000000000001,6.15
link,220296825,-34162616.0,-16.0,-37.09
vbtyz,271845055,-25968037.0,-10.0,-2.13
fonet,148079873,15974404.0,11.0,0.35
mtrks,44626028,-6686475.0,-15.0,-3.41
edata,533621250,-706421.0,-0.0,-0.01
kfein,44572587,10588016.0,24.0,2.27
pkart,13091147,549365.0,4.0,3.02
obase,28308027,-306388.0,-1.0,-0.43
kront,22007094,5833417.0,27.0,4.13
smart,18335822,5448771.0,30.0,6.94
dgate,13113470,-5191366.0,-40.0,-28.99
despc,11699323,530229.0,5.0,2.19
manas,608797857,1321394.0,0.0,0.02
odine,82252048,3416834.0,4.0,14.64
patek,516719284,94645546.0,18.0,3.73
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,4684760063,192093763.0,4.0,6.45
isctr,14067752434,891496996.0,6.0,1.07
halkb,2429752510,453096972.0,19.0,8.36
vakbn,1403512730,-2897290.0,-0.0,-0.08
akbnk,10786717614,986240036.0,9.0,7.82
skbnk,640250795,138563068.0,22.0,2.05
albrk,198239575,17231586.0,9.0,0.79
ykbnk,7396517241,706415309.0,10.0,3.76
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,1050928509,151982650.0,14.000000000000002,16.33
arclk,605501085,-59106185.0,-10.0,-12.23
asels,8383729307,533501275.0,6.0,18.56
astor,5017729867,838876234.0,17.0,26.31
bimas,4414828334,230269731.0,5.0,36.6
ekgyo,3265227278,684642867.0,21.0,5.12
enkai,767808476,77301151.0,10.0,9.75
eregl,7499257473,561424548.0,7.000000000000001,2.23
froto,2810701922,284040299.0,10.0,11.98
gubrf,1301175468,-25072742.0,-2.0,-10.03
hekts,738687394,43943402.0,6.0,0.2
kchol,6859295382,661225810.0,10.0,20.15
trmet,533016928,42699126.0,8.0,10.53
tralt,5541724309,548531646.0,10.0,4.73
krdmd,1529406327,124573654.0,8.0,2.45
odas,252929669,20631621.0,8.0,0.48
petkm,1751645942,466305395.0,27.0,4.92
pgsus,6619993089,184550407.0,3.0,5.83
sahol,4166982912,366439165.0,9.0,9.23
sasa,7761547044,715189114.0,9.0,0.23
sise,4881851327,471997718.0,10.0,4.66
tavhl,704122022,102630060.0,15.0,53.03
tcell,3081388302,270437276.0,9.0,10.23
thyao,20850988388,2006635880.0,10.0,31.38
toaso,1663804133,103600499.0,6.0,19.75
tuprs,7204734890,-825358630.0,-11.0,-25.29
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,175500769,5470980.0,3.0,0.44
a1cap,259332142,39080994.0,15.0,2.45
adgyo,42700091,1637664.0,4.0,2.45
agrot,103135499,26534795.0,26.0,0.84
ahgaz,97506692,36429.0,0.0,0.01
akfye,137816214,6893052.0,5.0,0.96
alfas,59853918,4316346.0,7.000000000000001,3.0
asgyo,30757508,3874503.0,13.0,1.44
atakp,49201492,6961383.0,14.000000000000002,8.03
astor,5017729867,838876234.0,17.0,26.31
aztek,34433189,3333137.0,10.0,0.46
barma,125342084,15556554.0,12.0,5.58
begyo,72373669,-13909794.0,-19.0,-0.93
bieny,118903436,7490688.0,6.0,1.53
bigch,84224856,7821071.0,9.0,5.16
binho,1304417449,275737269.0,21.0,2.18
bmstl,204827012,-37827173.0,-18.0,-20.69
borls,119922636,7421014.0,6.0,0.17
brkvy,92043405,-4193649.0,-5.0,-5.17
bvsan,88942774,6977076.0,8.0,9.18
bydnr,23423209,3970793.0,17.0,6.64
cates,35203975,-60.0,-0.0,-0.0
conse,162182855,1701963.0,1.0,0.04
cvkmd,2024818030,36598632.0,2.0,0.8
cwene,1344015586,-20168075.0,-2.0,-0.48
dapgm,289522383,31801787.0,11.0,1.29
dmrgd,255418068,3488073.0,1.0,0.05
dofer,53995522,1598.0,0.0,0.0
ebebk,61391941,-2312670.0,-4.0,-2.37
ekos,61222345,70436.0,0.0,0.01
eksun,25256094,2165749.0,9.0,0.49
enery,104310376,5495863.0,5.0,0.5
ensri,116017030,-4439532.0,-4.0,-1.05
eupwr,342665343,19982582.0,6.0,2.35
euren,689357806,167478035.0,24.0,1.3
eygyo,19783801,3413674.0,17.0,0.59
forte,107845546,7465505.0,7.000000000000001,6.15
fzlgy,60546796,11427592.0,19.0,2.33
gipta,129675449,5997128.0,5.0,2.7
goknr,96153712,-2422136.0,-3.0,-0.56
grsel,188938610,20601811.0,11.0,38.76
gznmi,400058473,23637603.0,6.0,2.82
hatsn,266274991,17158907.0,6.0,2.74
hktm,151899984,-6286307.0,-4.0,-0.59
httbt,57947388,-2258917.0,-4.0,-1.76
imasm,128697632,-10217011.0,-8.0,-0.35
inves,54263046,3589873.0,7.000000000000001,15.78
izenr,226598613,-6884348.0,-3.0,-0.29
kayse,163848805,20641365.0,13.0,0.64
kcaer,132970311,5301121.0,4.0,0.45
klrho,1427470819,30439804.0,2.0,12.54
klser,48158618,15108990.0,31.0,8.97
klsyn,68674478,17463317.0,25.0,2.02
kmpur,24680436,5514683.0,22.0,3.54
kopol,49194137,2712141.0,6.0,0.33
krpls,21097044,3340194.0,16.0,1.38
ktlev,1499081323,132721429.0,9.0,3.31
kzgyo,44571070,-9251748.0,-21.0,-5.35
lider,96926777,-17899721.0,-18.0,-13.83
macko,25893266,2844923.0,11.0,2.95
