tekno,27297229994.6,304524149.1,1.1,9,27
gyo,12429741747.7,-476286057.1,-3.8,19,27
banka,41937139426.7,731989526.2,1.7,4,4
bist30,94569329723.2,-4777097832.6,-5.1,10,16
harz,31738901935.8,-1514627964.4,-4.8,25,69
bist500,146798715469.1,-5452527139.9,-3.7,134,261
enerji,6368778948.3,-541410014.7,-8.5,8,24
bist100,124072798064.5,-6278507105.6,-5.1,31,61
fonlar,1519480130.2,-50877421.6,-3.3,4,7
fin_sigorta,5466318947.2,16338470.0,0.3,5,6
cim_ins,3336075103.2,-72803046.0,-2.2,8,15
bist_100_disi,43578106378.2,-1170879103.2,-2.7,108,216
