hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,188432039,-6587872.0,-3.0,-2.64
asels,5113764949,-279036600.0,-5.0,-7.59
reedr,272593389,-10123852.0,-4.0,-0.44
miatk,236829128,-28358058.0,-12.0,-4.06
sdttr,49731306,601043.0,1.0,2.23
ingrm,22355044,-3548223.0,-16.0,-60.89
atatp,82552240,6812922.0,8.0,6.93
alctl,54404675,910536.0,2.0,1.7
karel,51648123,-77531.0,-0.0,-0.01
aztek,56545571,15857902.0,28.000000000000004,11.59
httbt,45895125,-3601009.0,-8.0,-3.38
logo,159195654,-2763330.0,-2.0,-2.52
ardyz,63498082,-4849052.0,-8.0,-2.17
indes,30242287,-2056051.0,-7.000000000000001,-0.47
mobtl,60819661,1432014.0,2.0,0.18
penta,142212269,20439093.0,14.000000000000002,2.11
netas,31298960,2203014.0,7.000000000000001,3.81
arena,111388334,-17941118.0,-16.0,-6.28
escom,51143851,-13099071.0,-26.0,-0.78
papil,387781602,-46448639.0,-12.0,-4.13
forte,30043387,-3009811.0,-10.0,-6.44
link,76441278,-12247174.0,-16.0,-89.13
vbtyz,67024983,10305849.0,15.0,2.94
fonet,45032054,-5215543.0,-12.0,-1.73
mtrks,24432168,-1609217.0,-7.000000000000001,-1.33
edata,24514578,-491020.0,-2.0,-0.08
kfein,41214969,-3372996.0,-8.0,-8.22
pkart,23093327,-3705371.0,-16.0,-10.55
obase,17534179,-705917.0,-4.0,-1.29
kront,27382817,-1800231.0,-7.000000000000001,-1.25
smart,22588754,-1240556.0,-5.0,-1.46
dgate,52546351,-6598613.0,-13.0,-8.72
despc,32936657,-1647573.0,-5.0,-2.7
manas,198461721,27316333.0,14.000000000000002,0.9
odine,305026789,22390295.0,7.000000000000001,6.0
patek,500719464,230125569.0,46.0,34.54
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,99255552,-13585326.0,-14.000000000000002,-8.85
ekgyo,3441595577,388432532.0,11.0,1.59
zrgyo,154425847,-6601547.0,-4.0,-1.16
srvgy,98509743,-13260146.0,-13.0,-0.4
rygyo,64980574,-10798609.0,-17.0,-2.34
isgyo,40877546,-2458431.0,-6.0,-0.93
basgz,90311393,5081536.0,6.0,1.98
aksgy,40129978,-6529771.0,-16.0,-1.03
ozkgy,49073197,-5930605.0,-12.0,-1.33
dggyo,10220644,433274.0,4.0,1.41
psgyo,170849974,-1445607.0,-1.0,-0.02
yggyo,30346919,3309759.0,11.0,8.08
akmgy,10833002,-1712281.0,-16.0,-31.29
asgyo,35098150,-601314.0,-2.0,-0.18
hlgyo,129432265,-6841065.0,-5.0,-0.15
adgyo,26156629,3752026.0,14.000000000000002,4.09
akfgy,92331922,-1211882.0,-1.0,-0.03
tsgyo,25599686,-3119468.0,-12.0,-0.82
surgy,110584765,-366877.0,-0.0,-0.17
klgyo,157521238,10501255.0,7.000000000000001,0.33
algyo,26186857,-6081577.0,-23.0,-4.24
kzbgy,442398016,-149098212.0,-34.0,-4.0
sngyo,171263748,-11781312.0,-7.000000000000001,-0.25
vkgyo,93503490,-8793865.0,-9.0,-0.19
pekgy,154569499,-11784465.0,-8.0,-0.11
fzlgy,158684382,-12594249.0,-8.0,-2.88
begyo,13569967,0.0,0.0,0.0
segyo,51429870,2389666.0,5.0,0.19
pehol,658561031,7571771.0,1.0,0.17
nugyo,29302910,-2323162.0,-8.0,-0.57
agyo,7283684,-231651.0,-3.0,-0.2
dzgyo,29178499,2370409.0,8.0,0.51
msgyo,50259427,-13108557.0,-26.0,-1.2
mrgyo,164197512,54843039.0,33.0,0.57
krgyo,98206978,-6685634.0,-7.000000000000001,-0.97
ozgyo,23433687,545742.0,2.0,0.13
kgyo,184906042,-1459702.0,-1.0,-0.03
ygyo,566902026,1689056.0,0.0,0.02
avgyo,5000209,-816993.0,-16.0,-1.44
tdgyo,20694519,-1213614.0,-6.0,-0.8
atagy,13711749,250603.0,2.0,0.21
idgyo,9994168,-169005.0,-2.0,-0.05
mhrgy,49506113,6411654.0,13.0,0.65
avpgy,71252318,3163198.0,4.0,2.46
vrgyo,64792187,2562119.0,4.0,0.1
kzgyo,75679031,-9522933.0,-13.0,-2.87
eygyo,21932209,-3045895.0,-14.000000000000002,-0.33
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,2254682748,-306207779.0,-14.000000000000002,-15.15
isctr,4066877433,-265429864.0,-7.000000000000001,-0.71
halkb,1119020655,-38569118.0,-3.0,-0.76
vakbn,642481224,-64050489.0,-10.0,-2.31
akbnk,4965286719,-436745475.0,-9.0,-4.53
skbnk,353511113,-31816899.0,-9.0,-0.47
albrk,122160262,-10795526.0,-9.0,-0.57
ykbnk,6203436639,-1337544552.0,-22.0,-5.49
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,388657282,-61233086.0,-16.0,-13.82
arclk,377895296,-85216011.0,-23.0,-26.6
asels,5113764949,-279036600.0,-5.0,-7.59
astor,875571745,-235080264.0,-27.0,-27.74
bimas,1759101858,-27751844.0,-2.0,-7.84
ekgyo,3441595577,388432532.0,11.0,1.59
enkai,1660330869,-148381167.0,-9.0,-5.95
eregl,3155062872,453345044.0,14.000000000000002,3.53
froto,922003709,-74862905.0,-8.0,-7.7
gubrf,1569178972,77685422.0,5.0,13.59
hekts,150238347,-24535900.0,-16.0,-0.52
kchol,3617860294,-763023571.0,-21.0,-31.86
kozal,1078117141,-75432159.0,-7.000000000000001,-1.76
kozaa,364399081,-10137933.0,-3.0,-2.3
krdmd,1501531703,-334939785.0,-22.0,-5.44
odas,248096488,21500401.0,9.0,0.44
petkm,745137855,-62886591.0,-8.0,-1.52
pgsus,1155279498,-115110794.0,-10.0,-24.76
sahol,2147864788,-214647349.0,-10.0,-7.84
sasa,1441173350,-98952033.0,-7.000000000000001,-0.26
sise,850085758,-167863131.0,-20.0,-7.28
tavhl,530930815,-142590713.0,-27.0,-63.08
tcell,1603009431,-43497901.0,-3.0,-2.64
thyao,4868901642,-651072156.0,-13.0,-39.66
toaso,1644051420,104001312.0,6.0,13.7
tuprs,2184361913,-8027472.0,-0.0,-0.49
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,90443913,-14636872.0,-16.0,-3.04
a1cap,898781045,19386250.0,2.0,0.14
adgyo,26156629,3752026.0,14.000000000000002,4.09
agrot,101969367,-12670756.0,-12.0,-1.0
ahgaz,174414195,9496109.0,5.0,1.28
akfye,74206973,-18240738.0,-25.0,-4.08
alfas,73394931,-18655863.0,-25.0,-12.05
asgyo,35098150,-601314.0,-2.0,-0.18
atakp,48236175,640455.0,1.0,0.56
astor,875571745,-235080264.0,-27.0,-27.74
aztek,56545571,15857902.0,28.000000000000004,11.59
barma,35106881,-936407.0,-3.0,-0.47
begyo,13569967,0.0,0.0,0.0
bieny,212240556,11249367.0,5.0,2.3
bigch,51819774,-4677778.0,-9.0,-2.47
binho,496035072,-177204.0,-0.0,-0.1
bmstl,455011400,-8795270.0,-2.0,-1.09
borls,105985521,9441007.0,9.0,9.52
brkvy,162546831,17023499.0,10.0,7.47
bvsan,72324866,-12965761.0,-18.0,-18.07
bydnr,23021377,-1595540.0,-7.000000000000001,-1.46
cates,151497850,11014641.0,7.000000000000001,2.39
conse,138319942,11729961.0,8.0,0.26
cvkmd,210421666,-21122546.0,-10.0,-1.28
cwene,205583280,2078490.0,1.0,0.17
dapgm,671236647,77732062.0,12.0,1.07
dmrgd,136252966,-19405600.0,-14.000000000000002,-3.12
dofer,50470388,-4787508.0,-9.0,-3.11
ebebk,26206787,-6817957.0,-26.0,-11.29
ekos,32171672,361891.0,1.0,0.25
eksun,28283328,133416.0,0.0,0.03
enery,400846896,94468318.0,24.0,1.08
ensri,29668056,-1174130.0,-4.0,-0.77
eupwr,135549452,-16870669.0,-12.0,-3.44
euren,1438580385,98051343.0,7.000000000000001,0.44
eygyo,21932209,-3045895.0,-14.000000000000002,-0.33
forte,30043387,-3009811.0,-10.0,-6.44
fzlgy,158684382,-12594249.0,-8.0,-2.88
gipta,153063437,-24142352.0,-16.0,-13.23
goknr,126105053,-12885949.0,-10.0,-2.69
grsel,256959934,25877570.0,10.0,29.82
gznmi,315940661,30502322.0,10.0,19.3
hatsn,68991359,4602169.0,7.000000000000001,2.72
hktm,84039299,2456181.0,3.0,0.33
httbt,45895125,-3601009.0,-8.0,-3.38
imasm,66196922,-2268910.0,-3.0,-0.1
inves,41848167,-5170882.0,-12.0,-27.41
izenr,100029365,5007246.0,5.0,0.32
kayse,333289712,40466952.0,12.0,2.38
kcaer,379117618,17860495.0,5.0,0.69
klrho,186200470,73159026.0,39.0,12.0
klser,42584467,2370712.0,6.0,1.62
klsyn,38046060,-2345753.0,-6.0,-0.33
kmpur,34423122,-7956772.0,-23.0,-3.54
