hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,384598590,21412913.0,6.0,0.96
asels,10999258679,2560028655.0,23.0,92.2
reedr,90356527,17096366.0,19.0,1.38
miatk,4838199616,88137793.0,2.0,1.02
sdttr,344507171,56685228.0,16.0,45.02
ingrm,46247233,6707185.0,15.0,68.71
atatp,1008284838,-22595422.0,-2.0,-5.44
alctl,158213704,18747309.0,12.0,16.96
karel,443320256,49712899.0,11.0,1.5
aztek,288426568,-22351976.0,-8.0,-0.43
httbt,42195495,14566890.0,35.0,14.59
logo,175938193,16804725.0,10.0,15.67
ardyz,566180677,134184410.0,24.0,16.1
indes,211705687,-20213701.0,-10.0,-1.19
mobtl,82852625,7856894.0,9.0,1.49
penta,121803782,17040266.0,14.000000000000002,2.36
netas,60177995,18374839.0,31.0,21.67
arena,279488865,-9040822.0,-3.0,-1.02
escom,221974550,21959289.0,10.0,0.53
papil,131338351,14533735.0,11.0,1.76
forte,249888055,30924172.0,12.0,12.01
link,741376405,67413092.0,9.0,0.72
vbtyz,443461886,74064935.0,17.0,5.04
fonet,348223104,105307404.0,30.0,1.8
mtrks,109408700,6372689.0,6.0,1.61
edata,94368218,-13176997.0,-14.000000000000002,-2.3
kfein,533016524,44293172.0,8.0,0.97
pkart,234271979,29139519.0,12.0,18.95
obase,65869842,1428678.0,2.0,0.9
kront,95604291,1381674.0,1.0,0.29
smart,481621575,52500757.0,11.0,4.38
dgate,210062199,-19023060.0,-9.0,-11.21
despc,91121112,7139064.0,8.0,3.82
manas,919994674,95976066.0,10.0,2.7
odine,826797071,141991123.0,17.0,227.52
patek,929771105,127479872.0,14.000000000000002,3.52
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,159020778,-10693162.0,-7.000000000000001,-6.27
ekgyo,1733008952,257865056.0,15.0,2.95
zrgyo,230632243,31392667.0,14.000000000000002,2.18
srvgy,113797055,-5327680.0,-5.0,-0.14
rygyo,149721193,10518051.0,7.000000000000001,2.38
isgyo,55479936,6876508.0,12.0,2.58
basgz,16994759,1355431.0,8.0,3.92
aksgy,54206183,-3983996.0,-7.000000000000001,-0.68
ozkgy,108963154,17985624.0,17.0,2.28
dggyo,4992833,-165516.0,-3.0,-1.12
psgyo,505314840,69677592.0,14.000000000000002,0.43
yggyo,57091259,3557936.0,6.0,14.05
akmgy,54887698,5509226.0,10.0,27.84
asgyo,43354920,-498523.0,-1.0,-0.14
hlgyo,530972636,43474527.0,8.0,0.51
adgyo,79153103,21707111.0,27.0,15.61
akfgy,67998632,4479573.0,7.000000000000001,0.19
tsgyo,11005098,1311011.0,12.0,0.79
surgy,213405966,-3914050.0,-2.0,-1.23
klgyo,68208106,2936480.0,4.0,0.21
algyo,441614989,11319015.0,3.0,0.2
kzbgy,181644250,-1965698.0,-1.0,-0.03
sngyo,60188575,-1032184.0,-2.0,-0.06
vkgyo,37217679,2146564.0,6.0,0.17
pekgy,1150021413,-10384980.0,-1.0,-0.12
fzlgy,778823768,-43301943.0,-6.0,-0.81
begyo,27033200,694122.0,3.0,0.11
segyo,35117818,1679456.0,5.0,0.24
pehol,1218035486,241027370.0,20.0,5.62
nugyo,61266508,27477455.0,45.0,4.81
agyo,3229712,-266501.0,-8.0,-0.73
dzgyo,36004883,1016935.0,3.0,0.25
msgyo,44575240,5675947.0,13.0,0.79
mrgyo,284229266,-11274295.0,-4.0,-0.07
krgyo,18927940,1477752.0,8.0,0.22
ozgyo,64491707,16221995.0,25.0,0.54
kgyo,196035115,-8262825.0,-4.0,-0.51
