hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,767611688,-79377651.0,-10.0,-8.54
asels,3311944441,-864568028.0,-26.0,-37.67
reedr,181798513,-6723926.0,-4.0,-0.34
miatk,264094598,-1123923.0,-0.0,-0.12
sdttr,571492648,-48871967.0,-9.0,-16.03
ingrm,10109310,786358.0,8.0,26.73
atatp,40797555,-2628851.0,-6.0,-5.31
alctl,18696193,697251.0,4.0,3.79
karel,257645447,122267602.0,47.0,3.94
aztek,34105485,-1841357.0,-5.0,-2.02
httbt,6634594,-1113942.0,-17.0,-6.47
logo,55420606,-1199218.0,-2.0,-3.19
ardyz,51921393,-23692956.0,-46.0,-11.8
indes,28780390,-7074424.0,-25.0,-1.53
mobtl,41611665,2501888.0,6.0,0.4
penta,28244940,1991559.0,7.000000000000001,0.91
netas,11518611,-846219.0,-7.000000000000001,-3.38
arena,32356500,-7668610.0,-24.0,-7.14
escom,304716282,1408140.0,0.0,0.01
papil,336391994,-16016698.0,-5.0,-1.48
forte,72473428,-9844076.0,-14.000000000000002,-10.33
link,41346152,-866961.0,-2.0,-12.32
vbtyz,30220055,-439955.0,-1.0,-0.3
fonet,58178213,-7276979.0,-13.0,-1.86
mtrks,16687493,776012.0,5.0,0.84
edata,13299716,-126892.0,-1.0,-0.04
kfein,21469493,-4317211.0,-20.0,-18.08
pkart,12743714,-1995838.0,-16.0,-9.8
obase,6674733,-532356.0,-8.0,-2.32
kront,96501837,-16323735.0,-17.0,-1.44
smart,24071492,-3138782.0,-13.0,-2.98
dgate,32256017,3010481.0,9.0,6.65
despc,21032577,-648477.0,-3.0,-1.38
manas,189125408,-31208172.0,-17.0,-0.87
odine,789698945,116447702.0,15.0,13.08
patek,963701246,125869845.0,13.0,2.44
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,68077984,9816853.0,14.000000000000002,9.12
ekgyo,3044554843,-124634693.0,-4.0,-0.68
zrgyo,52206710,18432669.0,35.0,8.16
srvgy,121711087,-13845419.0,-11.0,-0.3
rygyo,106031029,12126394.0,11.0,1.98
isgyo,81280470,1598938.0,2.0,0.33
basgz,20687869,-3718232.0,-18.0,-6.07
aksgy,28689478,459388.0,2.0,0.1
ozkgy,78320492,-7310940.0,-9.0,-1.05
dggyo,2551644,-755578.0,-30.0,-8.85
psgyo,582952450,18197168.0,3.0,0.07
yggyo,8451319,-3538358.0,-42.0,-34.55
akmgy,3227976,38660.0,1.0,2.23
asgyo,77652760,-4709169.0,-6.0,-0.64
hlgyo,119516068,7800804.0,7.000000000000001,0.19
adgyo,74903836,312669.0,0.0,0.15
akfgy,105887480,10991749.0,10.0,0.25
tsgyo,17928025,-2804244.0,-16.0,-1.0
surgy,34877540,-2916937.0,-8.0,-4.01
klgyo,122028582,-3073477.0,-3.0,-0.14
algyo,28436202,-5845331.0,-21.0,-3.81
kzbgy,253833634,-302329.0,-0.0,-0.01
sngyo,115498374,16726238.0,14.000000000000002,0.58
vkgyo,134102689,11129473.0,8.0,0.17
pekgy,1723736819,-19476087.0,-1.0,-0.02
fzlgy,49831343,-2321692.0,-5.0,-1.67
begyo,74059499,-12654354.0,-17.0,-1.79
segyo,32014216,2312825.0,7.000000000000001,0.28
pehol,848157117,125598343.0,15.0,2.29
nugyo,31943091,-2109824.0,-7.000000000000001,-0.5
agyo,2057933,-532980.0,-26.0,-1.67
dzgyo,29185781,-78953.0,-0.0,-0.01
msgyo,11333420,-746158.0,-7.000000000000001,-0.27
mrgyo,320339320,12117854.0,4.0,0.08
krgyo,171231184,-28090134.0,-16.0,-1.2
ozgyo,46193379,-4794732.0,-10.0,-0.68
kgyo,9438850,2042141.0,22.0,0.72
ygyo,4015388,0.0,0.0,0.0
avgyo,2073421,191380.0,9.0,0.83
tdgyo,25844917,1375591.0,5.0,0.85
atagy,2831021,-588010.0,-21.0,-2.21
idgyo,2809739,-307372.0,-11.0,-0.28
mhrgy,18755113,-3231025.0,-17.0,-0.91
