hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,527349134,-26909645.0,-5.0,-0.78
asels,15543393065,1294559330.0,8.0,29.13
reedr,2862852599,-47563246.0,-2.0,-0.15
miatk,576976063,469137.0,0.0,0.03
sdttr,549003713,-38177161.0,-7.000000000000001,-15.83
ingrm,13575770,-1207827.0,-9.0,-33.88
atatp,148097031,-9117303.0,-6.0,-8.87
alctl,27619627,5120196.0,19.0,23.25
karel,104120461,2429114.0,2.0,0.19
aztek,26480179,-338810.0,-1.0,-0.05
httbt,66674043,4282339.0,6.0,2.39
logo,183343142,-23625779.0,-13.0,-17.01
ardyz,234693681,35306696.0,15.0,6.26
indes,172879550,2898829.0,2.0,0.15
mobtl,58054562,5159815.0,9.0,0.88
penta,33624493,1138182.0,3.0,0.44
netas,30885025,715001.0,2.0,1.32
arena,20956317,-2004634.0,-10.0,-2.32
escom,440657546,-4788297.0,-1.0,-0.06
papil,237309013,-7161290.0,-3.0,-0.48
forte,927466961,53646572.0,6.0,6.29
link,516288087,20487609.0,4.0,0.24
vbtyz,71991836,2182502.0,3.0,0.67
fonet,657233703,175620247.0,27.0,1.28
mtrks,31400459,-3332026.0,-11.0,-2.26
edata,200205658,44859728.0,22.0,3.1
kfein,45302673,-702613.0,-2.0,-0.13
pkart,136463163,-6323113.0,-5.0,-3.66
obase,14392814,-94412.0,-1.0,-0.22
kront,91852596,7779290.0,8.0,1.79
smart,187103747,-32057597.0,-17.0,-5.8
dgate,39957334,330889.0,1.0,0.69
despc,19347262,-1255191.0,-6.0,-2.47
manas,740859834,-124260420.0,-17.0,-4.37
odine,794065388,37475016.0,5.0,32.37
patek,356391656,-8116308.0,-2.0,-0.4
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,153549156,8267429.0,5.0,4.46
ekgyo,2792655006,150794261.0,5.0,1.07
zrgyo,54010786,4625885.0,9.0,1.76
srvgy,142011101,14051622.0,10.0,0.32
rygyo,185516790,41138633.0,22.0,7.27
isgyo,42217620,3393094.0,8.0,1.67
basgz,53227472,5536375.0,10.0,5.26
aksgy,48292051,14123349.0,28.999999999999996,2.53
ozkgy,111456760,-8490721.0,-8.0,-1.05
dggyo,2444839,80418.0,3.0,0.92
psgyo,269262926,54352742.0,20.0,0.44
yggyo,140956027,-2732952.0,-2.0,-4.0
akmgy,29033673,10998677.0,38.0,88.93
asgyo,45859692,-1468156.0,-3.0,-0.34
hlgyo,379783174,15992772.0,4.0,0.21
adgyo,61210664,-1105924.0,-2.0,-1.05
akfgy,81653521,7862500.0,10.0,0.27
tsgyo,12222563,155742.0,1.0,0.09
surgy,283236771,-32491249.0,-11.0,-6.36
klgyo,144762282,1452993.0,1.0,0.05
algyo,153183231,-6143152.0,-4.0,-0.18
kzbgy,147080014,5044683.0,3.0,0.1
sngyo,227244391,-14430486.0,-6.0,-0.24
vkgyo,60974303,123843.0,0.0,0.01
pekgy,2360444546,12815207.0,1.0,0.07
fzlgy,1936108426,27574741.0,1.0,0.27
begyo,32351137,689241.0,2.0,0.09
segyo,76168321,6291032.0,8.0,0.37
pehol,1880273093,-359204879.0,-19.0,-3.1
nugyo,19163127,-1554716.0,-8.0,-0.73
agyo,3157446,-797737.0,-25.0,-2.12
dzgyo,27353972,-1078915.0,-4.0,-0.3
msgyo,92718766,20750295.0,22.0,1.89
mrgyo,317391667,9281413.0,3.0,0.04
krgyo,25988811,-163218.0,-1.0,-0.02
ozgyo,24566844,-1796299.0,-7.000000000000001,-0.15
kgyo,56691341,-5716504.0,-10.0,-0.75
ygyo,11923551,0.0,0.0,0.0
avgyo,13830154,-1939449.0,-14.000000000000002,-1.56
tdgyo,11205394,507718.0,5.0,0.8
atagy,5550528,-1139016.0,-21.0,-2.55
idgyo,7297542,1904794.0,26.0,1.01
mhrgy,23690460,-1562540.0,-7.000000000000001,-0.22
avpgy,75061211,3529257.0,5.0,2.41
vrgyo,44639417,-5120591.0,-11.0,-0.25
kzgyo,47813626,1114172.0,2.0,0.49
eygyo,124456347,-2316147.0,-2.0,-0.06
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,6516145673,562064634.0,9.0,11.3
isctr,19496264689,155919433.0,1.0,0.11
halkb,2981891417,77475789.0,3.0,0.99
vakbn,1595380805,82819984.0,5.0,1.66
akbnk,18890068158,364792741.0,2.0,1.37
skbnk,491854234,-13381939.0,-3.0,-0.28
albrk,250164815,15512353.0,6.0,0.5
ykbnk,10407843910,-58416221.0,-1.0,-0.19
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,520319263,42750529.0,8.0,7.26
arclk,307278548,-1119065.0,-0.0,-0.41
asels,15543393065,1294559330.0,8.0,29.13
astor,6720926782,856606977.0,13.0,24.06
bimas,5003142488,488043104.0,10.0,65.97
ekgyo,2792655006,150794261.0,5.0,1.07
enkai,1733173082,187089870.0,11.0,10.22
eregl,3524733746,340711577.0,10.0,2.7
froto,2173571162,59893035.0,3.0,2.91
gubrf,1569743214,98348747.0,6.0,29.48
hekts,518721068,97465984.0,19.0,0.55
kchol,10673864634,500672739.0,5.0,8.96
trmet,2321161724,83921156.0,4.0,4.8
tralt,5592394039,451123090.0,8.0,3.61
krdmd,1693543283,287337230.0,17.0,4.99
odas,1048165103,69592780.0,7.000000000000001,0.41
petkm,7035418389,-146148383.0,-2.0,-0.43
pgsus,4562600071,328084704.0,7.000000000000001,12.68
sahol,5777275096,284019156.0,5.0,4.45
sasa,6708349452,703728918.0,10.0,0.26
sise,9009400211,2134229892.0,24.0,11.21
tavhl,1130014242,155344122.0,14.000000000000002,39.36
tcell,4273720067,249934229.0,6.0,6.17
thyao,21828291811,1399869948.0,6.0,18.54
toaso,3194337416,-59675191.0,-2.0,-5.13
tuprs,19339575725,1199001798.0,6.0,16.02
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,135249763,26349614.0,19.0,3.24
a1cap,357418954,-16189976.0,-5.0,-0.68
adgyo,61210664,-1105924.0,-2.0,-1.05
agrot,125972833,3807366.0,3.0,0.09
ahgaz,147074738,9575642.0,7.000000000000001,1.4
akfye,318561680,-41539244.0,-13.0,-2.88
alfas,101979595,-1631932.0,-2.0,-0.59
asgyo,45859692,-1468156.0,-3.0,-0.34
atakp,25062863,3628151.0,14.000000000000002,7.53
astor,6720926782,856606977.0,13.0,24.06
aztek,26480179,-338810.0,-1.0,-0.05
barma,134065813,-1640552.0,-1.0,-0.56
begyo,32351137,689241.0,2.0,0.09
bieny,58350581,1397905.0,2.0,0.55
bigch,22081168,958859.0,4.0,0.29
binho,294566473,-14667641.0,-5.0,-0.41
bmstl,194205430,-11165152.0,-6.0,-4.83
borls,75439507,7571603.0,10.0,0.28
brkvy,58216331,4160329.0,7.000000000000001,6.32
bvsan,85160712,-4561798.0,-5.0,-5.63
bydnr,20638074,7270502.0,35.0,12.48
cates,232045222,9869138.0,4.0,2.06
conse,47496785,-3763837.0,-8.0,-0.27
cvkmd,799779243,102887642.0,13.0,3.91
cwene,942007732,-25953832.0,-3.0,-0.78
dapgm,672036231,-55024990.0,-8.0,-1.22
dmrgd,252903909,14353533.0,6.0,0.24
dofer,66704730,510330.0,1.0,0.27
ebebk,62693915,-7464956.0,-12.0,-7.27
ekos,81363468,-134578.0,-0.0,-0.01
eksun,20816872,2803478.0,13.0,0.72
enery,175666297,8344489.0,5.0,0.4
ensri,270907909,-8187318.0,-3.0,-0.86
eupwr,490504213,55647582.0,11.0,3.88
euren,225836598,20883898.0,9.0,0.45
eygyo,124456347,-2316147.0,-2.0,-0.06
forte,927466961,53646572.0,6.0,6.29
fzlgy,1936108426,27574741.0,1.0,0.27
gipta,323611819,6954993.0,2.0,1.55
goknr,98007526,-3688533.0,-4.0,-0.77
grsel,258498880,-26123597.0,-10.0,-31.66
gznmi,149753679,4253607.0,3.0,1.65
hatsn,41035800,4129459.0,10.0,3.73
hktm,31626688,-2569353.0,-8.0,-0.92
httbt,66674043,4282339.0,6.0,2.39
imasm,117598578,-4628078.0,-4.0,-0.14
inves,144178092,-14800917.0,-10.0,-43.43
izenr,845673639,99259807.0,12.0,1.17
kayse,64826325,-564030.0,-1.0,-0.04
kcaer,259791408,3342706.0,1.0,0.15
klrho,1961307125,159975884.0,8.0,9.7
klser,80287956,6134989.0,8.0,2.0
klsyn,85762120,7868067.0,9.0,0.94
kmpur,87057038,-1385015.0,-2.0,-0.27
kopol,101665779,-2880409.0,-3.0,-0.16
krpls,29576648,3220373.0,11.0,0.89
ktlev,4671180630,-575241651.0,-12.0,-7.57
kzgyo,47813626,1114172.0,2.0,0.49
lider,122479177,6127232.0,5.0,5.18
macko,73479789,1859577.0,3.0,0.8
makim,11872169,1407937.0,12.0,1.78
marbl,66654884,3230696.0,5.0,0.6
mekag,530075383,75861984.0,14.000000000000002,1.02
mhrgy,23690460,-1562540.0,-7.000000000000001,-0.22
obase,14392814,-94412.0,-1.0,-0.22
ofsym,77637714,1853585.0,2.0,1.49
oncsm,153356221,4277916.0,3.0,6.86
ozsub,113321369,8702221.0,8.0,1.61
paseu,807273088,55481527.0,7.000000000000001,8.28
pcilt,101392765,5097656.0,5.0,1.5
pltur,81695431,-3375168.0,-4.0,-0.96
pnlsn,95107954,-6559306.0,-7.000000000000001,-3.38
prdgs,38936075,-330555.0,-1.0,-0.06
psgyo,269262926,54352742.0,20.0,0.44
reedr,2862852599,-47563246.0,-2.0,-0.15
rnpol,9204757,1806064.0,20.0,0.36
rubns,42994692,5353199.0,12.0,4.72
sdttr,549003713,-38177161.0,-7.000000000000001,-15.83
segyo,76168321,6291032.0,8.0,0.37
skymd,31921058,6328480.0,20.0,2.38
smrtg,152841624,-687415.0,-0.0,-0.03
snica,25904236,1895368.0,7.000000000000001,0.27
soke,98350388,14719732.0,15.0,2.34
suntk,34562616,-2689251.0,-8.0,-2.71
suwen,40842492,-3883828.0,-10.0,-0.83
tabgd,229430787,10174951.0,4.0,10.94
tarkm,85339632,3897602.0,5.0,16.9
taten,472885328,-45760263.0,-10.0,-1.17
tera,2250627992,131067596.0,6.0,18.66
tnztp,83255363,8481152.0,10.0,2.23
vrgyo,44639417,-5120591.0,-11.0,-0.25
yylgd,165358368,10124207.0,6.0,0.69
patek,356391656,-8116308.0,-2.0,-0.4
OBAMS,502242310,69679226.0,14.000000000000002,1.13
LMKDC,326027461,-9961145.0,-3.0,-1.01
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hubvc,29827691,-7670583.0,-26.0,-1.26
tatgd,182262715,19012917.0,10.0,1.78
odas,1048165103,69592780.0,7.000000000000001,0.41
cwene,942007732,-25953832.0,-3.0,-0.78
uluun,173646929,1519575.0,1.0,0.07
AYDEM,182692490,11082451.0,6.0,1.66
conse,47496785,-3763837.0,-8.0,-0.27
ASELS,15543393065,1294559330.0,8.0,29.13
TUPRS,19339575725,1199001798.0,6.0,16.02
KCHOL,10673864634,500672739.0,5.0,8.96
ARCLK,307278548,-1119065.0,-0.0,-0.41
EREGL,3524733746,340711577.0,10.0,2.7
KRDMD,1693543283,287337230.0,17.0,4.99
SAHOL,5777275096,284019156.0,5.0,4.45
SASA,6708349452,703728918.0,10.0,0.26
ENJSA,945419561,54091579.0,6.0,6.68
AKSA,278875061,-17799604.0,-6.0,-0.7
HEKTS,518721068,97465984.0,19.0,0.55
TKFEN,604077587,69145374.0,11.0,9.43
SISE,9009400211,2134229892.0,24.0,11.21
EKGYO,2792655006,150794261.0,5.0,1.07
SOKE,98350388,14719732.0,15.0,2.34
KLKIM,133876801,-24611351.0,-18.0,-7.07
MEPET,29518982,-3997295.0,-14.000000000000002,-3.61
BJKAS,41417561,-6121651.0,-15.0,-0.22
TUREX,224792060,-15026571.0,-7.000000000000001,-0.49
ALGYO,153183231,-6143152.0,-4.0,-0.18
GMSTR,3977895996,356257872.0,9.0,55.87
KUYAS,1513889654,48086124.0,3.0,2.44
ISGYO,42217620,3393094.0,8.0,1.67
SELEC,164403561,62831971.0,38.0,30.89
KRONT,91852596,7779290.0,8.0,1.79
USDTR,111205568,6898020.0,6.0,257.24
ISFIN,53282140,-1301264.0,-2.0,-0.47
BAGFS,234692409,-4364775.0,-2.0,-0.72
SARKY,584925954,43749675.0,7.000000000000001,2.11
ASTOR,6720926782,856606977.0,13.0,24.06
BTCIM,1047532754,-135450324.0,-13.0,-0.83
LKMNH,13325700,328151.0,2.0,0.39
ERBOS,14972257,4861914.0,32.0,59.11
RAYSG,68521812,5247673.0,8.0,15.18
DMSAS,38618189,-4735807.0,-12.0,-1.1
