hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,1027701289,-14184954.0,-1.0,-1.48
arclk,540417409,-120793714.0,-22.0,-24.98
asels,24113948026,2445064624.0,10.0,33.5
astor,7187556724,-958261546.0,-13.0,-21.28
bimas,5071592478,85027956.0,2.0,10.38
ekgyo,4030013513,-210773194.0,-5.0,-1.19
enkai,1089027671,-47469790.0,-4.0,-3.54
eregl,5796670195,-347336270.0,-6.0,-1.56
froto,1405687883,108137467.0,8.0,7.95
gubrf,2080967990,577244694.0,28.000000000000004,109.46
hekts,248566779,-8363454.0,-3.0,-0.1
kchol,6661090523,-365304602.0,-5.0,-10.6
trmet,1337908451,-8296441.0,-1.0,-0.79
tralt,9977854043,83436463.0,1.0,0.42
krdmd,1681134663,49216412.0,3.0,0.84
odas,277394435,-72073184.0,-26.0,-1.36
petkm,867896987,-87096144.0,-10.0,-1.74
pgsus,4091858715,-503173267.0,-12.0,-24.74
sahol,3757490174,-454857267.0,-12.0,-11.42
sasa,3507524247,602171019.0,17.0,0.41
sise,2588424905,-227638895.0,-9.0,-3.46
tavhl,889062255,142018186.0,16.0,51.19
tcell,4214277375,-37529366.0,-1.0,-0.93
thyao,13108283675,-1186501771.0,-9.0,-26.64
toaso,923039525,115066774.0,12.0,35.1
tuprs,5735331654,611410598.0,11.0,24.03
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,559896241,43822366.0,8.0,1.36
asels,24113948026,2445064624.0,10.0,33.5
reedr,119704758,-9263314.0,-8.0,-0.55
miatk,544820982,-23579076.0,-4.0,-1.56
sdttr,338136683,16232175.0,5.0,10.23
ingrm,123574717,-11231803.0,-9.0,-42.62
atatp,198141906,-22419612.0,-11.0,-17.91
alctl,190179231,21705547.0,11.0,12.99
karel,64191710,-3232782.0,-5.0,-0.46
aztek,29978116,-53106.0,-0.0,-0.01
httbt,49947209,-493173.0,-1.0,-0.46
logo,68123010,-870892.0,-1.0,-2.12
ardyz,205779695,10043597.0,5.0,1.97
indes,92008762,6119411.0,7.000000000000001,0.51
mobtl,83076535,-7958454.0,-10.0,-0.93
penta,32109344,-5428820.0,-17.0,-2.37
netas,16585961,1237348.0,7.000000000000001,4.5
arena,41603667,-5520173.0,-13.0,-3.95
escom,58515114,-2187012.0,-4.0,-0.14
papil,346470854,34204422.0,10.0,1.74
forte,216296557,-7755907.0,-4.0,-3.31
link,698104113,-170133773.0,-24.0,-59.32
vbtyz,17421970,-583420.0,-3.0,-0.54
fonet,79726154,-3214700.0,-4.0,-0.12
mtrks,39841463,123751.0,0.0,0.07
edata,295289613,68846451.0,23.0,2.0
kfein,55595520,5914652.0,11.0,0.97
pkart,15729174,-1349981.0,-9.0,-6.24
obase,103901005,10629969.0,10.0,4.1
kront,48633848,1767081.0,4.0,0.58
smart,19505689,-2031550.0,-10.0,-2.41
dgate,14124881,-1161301.0,-8.0,-6.06
despc,17696591,1653255.0,9.0,4.52
manas,502947509,55147262.0,11.0,2.03
odine,122791000,-12094359.0,-10.0,-34.66
patek,287044985,-1709304.0,-1.0,-0.12
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,179163458,7496772.0,4.0,3.44
ekgyo,4030013513,-210773194.0,-5.0,-1.19
zrgyo,51399340,-1802371.0,-4.0,-0.86
srvgy,114611442,-13745515.0,-12.0,-0.42
rygyo,170521770,-28778295.0,-17.0,-4.64
isgyo,60458754,6041837.0,10.0,2.24
