tekno,9304884026.8,-903725861.7,-9.7,10,26
gyo,12258459257.2,-1097662976.0,-9.0,13,33
banka,31879025577.9,-5267540690.6,-16.5,1,7
bist30,65753785526.5,-6725540040.5,-10.2,4,22
harz,16194440585.7,-399436855.4,-2.5,32,63
bist500,112582112664.5,-6280961258.7,-5.6,151,244
enerji,4642485316.1,-211100213.2,-4.5,10,22
bist100,90644373659.5,-7702624510.0,-8.5,24,68
fonlar,535138771.0,-115875437.4,-21.7,0,7
fin_sigorta,4396880909.5,-35909908.2,-0.8,5,6
cim_ins,4121307753.3,-347704566.2,-8.4,5,18
bist_100_disi,36306671746.5,-273004966.1,-0.8,134,190
