hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,247306745,63808472.0,26.0,4.05
asels,11057782033,2045697127.0,19.0,64.12
reedr,284923753,35445846.0,12.0,0.87
miatk,347731881,10800594.0,3.0,0.94
sdttr,262559204,58491208.0,22.0,52.93
ingrm,9687794,1547070.0,16.0,61.61
atatp,245284264,-13634901.0,-6.0,-13.58
alctl,89863070,5765600.0,6.0,11.31
karel,82020104,-15270037.0,-19.0,-1.72
aztek,21064675,-2471185.0,-12.0,-0.51
httbt,21408679,6147596.0,28.999999999999996,10.96
logo,63258985,-3547029.0,-6.0,-7.61
ardyz,366380404,-17053353.0,-5.0,-3.53
indes,41459185,7400508.0,18.0,1.85
mobtl,179796844,24141721.0,13.0,2.05
penta,35662571,383556.0,1.0,0.14
netas,15898951,2272424.0,14.000000000000002,9.21
arena,47596369,-15991280.0,-34.0,-7.03
escom,96592790,11015857.0,11.0,0.61
papil,79759680,15680830.0,20.0,2.27
forte,173732321,10486395.0,6.0,6.76
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,246123553,62625280.0,25.0,3.99
asels,11057782033,2045697127.0,19.0,64.12
reedr,284923753,35445846.0,12.0,0.87
miatk,347731881,10800594.0,3.0,0.94
sdttr,262559204,58491208.0,22.0,52.93
ingrm,9687794,1547070.0,16.0,61.61
atatp,245284264,-13634901.0,-6.0,-13.58
alctl,89863070,5765600.0,6.0,11.31
karel,82017503,-15300028.0,-19.0,-1.73
aztek,21064675,-2471185.0,-12.0,-0.51
httbt,21408679,6147596.0,28.999999999999996,10.96
logo,63258985,-3547029.0,-6.0,-7.61
ardyz,366380404,-17053353.0,-5.0,-3.53
indes,41459185,7400508.0,18.0,1.85
mobtl,180458420,23480145.0,13.0,1.99
penta,35662571,383556.0,1.0,0.14
netas,15898951,2272424.0,14.000000000000002,9.21
arena,47596369,-15991280.0,-34.0,-7.03
escom,96592790,11015857.0,11.0,0.61
papil,79759680,15680830.0,20.0,2.27
forte,173732321,10486395.0,6.0,6.76
link,110399877,9717523.0,9.0,0.51
vbtyz,80432531,13152214.0,16.0,5.27
fonet,79054623,10655951.0,13.0,0.68
mtrks,24382319,-3731480.0,-15.0,-4.18
edata,29997158,-933545.0,-3.0,-0.56
kfein,32473732,-4609125.0,-14.000000000000002,-1.19
pkart,39014112,-1703281.0,-4.0,-5.38
obase,30553235,1719089.0,6.0,2.32
kront,50530663,18948154.0,37.0,8.93
smart,20793189,400531.0,2.0,0.46
dgate,112195143,-24689524.0,-22.0,-25.3
despc,37900547,2043878.0,5.0,2.2
manas,737967242,-231122758.0,-31.0,-9.6
odine,1331853418,192506890.0,14.000000000000002,403.99
patek,296836260,2456731.0,1.0,0.16
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,77659205,-1002602.0,-1.0,-1.2
ekgyo,2869308765,228694412.0,8.0,1.46
zrgyo,12759417,-1896413.0,-15.0,-2.68
srvgy,34142971,5525116.0,16.0,0.39
rygyo,111409092,37946433.0,34.0,13.83
isgyo,33907829,5518401.0,16.0,4.24
basgz,9512298,329078.0,3.0,1.52
aksgy,56398480,-8056595.0,-14.000000000000002,-1.38
ozkgy,52247723,897337.0,2.0,0.21
dggyo,6026633,710923.0,12.0,4.18
psgyo,859539488,99246788.0,12.0,0.43
yggyo,25665102,-1668523.0,-7.000000000000001,-14.43
akmgy,4445886,1398594.0,31.0,75.92
asgyo,29351348,2008985.0,7.000000000000001,0.74
hlgyo,94897737,22226529.0,23.0,1.12
adgyo,99865412,5916202.0,6.0,2.99
akfgy,56972895,-2232190.0,-4.0,-0.11
tsgyo,11460715,2948148.0,26.0,1.44
surgy,90450546,-3072018.0,-3.0,-2.28
klgyo,37093208,-398178.0,-1.0,-0.05
algyo,44831878,2357002.0,5.0,0.17
kzbgy,50873401,14808183.0,28.999999999999996,0.59
sngyo,111837893,19041441.0,17.0,0.56
vkgyo,20747578,2025594.0,10.0,0.25
pekgy,1390724652,-198257567.0,-14.000000000000002,-2.1
fzlgy,115571585,-3759763.0,-3.0,-0.36
begyo,20701551,1440605.0,7.000000000000001,0.24
segyo,12348182,2009766.0,16.0,0.63
pehol,1428834820,-218136337.0,-15.0,-7.38
nugyo,6850604,778405.0,11.0,1.05
agyo,1064722,-287694.0,-27.0,-1.97
dzgyo,9053266,458325.0,5.0,0.37
msgyo,12056194,3896584.0,32.0,2.04
mrgyo,52966122,3366879.0,6.0,0.08
krgyo,13616704,793936.0,6.0,0.15
ozgyo,103325347,4146077.0,4.0,0.09
kgyo,65376211,-4599747.0,-7.000000000000001,-0.7
avgyo,33000036,4660252.0,14.000000000000002,1.96
tdgyo,11689879,265644.0,2.0,0.38
atagy,2054584,66705.0,3.0,0.34
idgyo,5007347,2312575.0,46.0,1.69
mhrgy,10235149,1183429.0,12.0,0.39
avpgy,16285713,740179.0,5.0,2.37
vrgyo,30015750,545877.0,2.0,0.03
kzgyo,30883648,4711092.0,15.0,3.01
eygyo,70972363,9982153.0,14.000000000000002,0.33
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,6194707332,1016087382.0,16.0,21.23
isctr,11398569056,339604813.0,3.0,0.37
halkb,2340926626,134593664.0,6.0,2.13
vakbn,1220541833,111228778.0,9.0,2.79
akbnk,15777793533,1132014736.0,7.000000000000001,4.82
skbnk,2109190661,67467808.0,3.0,0.2
albrk,211922767,43592727.0,21.0,1.69
ykbnk,10398847503,144279948.0,1.0,0.48
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,361907387,18100559.0,5.0,5.15
arclk,83845104,9954311.0,12.0,11.54
asels,11057782033,2045697127.0,19.0,64.12
astor,6419795050,1149101098.0,18.0,53.31
bimas,3382211685,82556445.0,2.0,9.33
ekgyo,2869308765,228694412.0,8.0,1.46
enkai,1053536400,-152284916.0,-14.000000000000002,-12.48
eregl,6321700050,412850211.0,7.000000000000001,2.71
froto,1525978885,131993838.0,9.0,6.9
gubrf,716216642,85216633.0,12.0,48.75
hekts,855962219,71860042.0,8.0,0.25
kchol,5395173280,-223995980.0,-4.0,-8.15
trmet,643098983,26171682.0,4.0,5.16
tralt,7685764143,1053648729.0,14.000000000000002,6.3
krdmd,1921170461,181826805.0,9.0,3.86
odas,443631368,-39764783.0,-9.0,-0.68
petkm,1405249312,138103669.0,10.0,1.93
pgsus,2276863074,225972116.0,10.0,15.62
sahol,3624333925,525621673.0,15.0,12.67
sasa,4654664946,-527980956.0,-11.0,-0.29
sise,2224012777,211247511.0,9.0,4.01
tavhl,1171670828,136793703.0,12.0,32.83
tcell,3829019500,533108408.0,14.000000000000002,14.83
thyao,22655469802,2543260304.0,11.0,35.98
toaso,1030327066,-24680877.0,-2.0,-6.49
tuprs,8891177035,-386070260.0,-4.0,-12.57
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,101341182,-23331136.0,-23.0,-2.24
a1cap,66999453,6932945.0,10.0,0.92
adgyo,99865412,5916202.0,6.0,2.99
agrot,31112485,1039728.0,3.0,0.08
ahgaz,82993809,6212401.0,7.000000000000001,2.43
akfye,161653707,12676165.0,8.0,1.86
alfas,73622584,3634122.0,5.0,2.09
asgyo,29351348,2008985.0,7.000000000000001,0.74
atakp,15505991,806482.0,5.0,2.66
astor,6413829452,1155066696.0,18.0,53.63
aztek,21064675,-2471185.0,-12.0,-0.51
barma,808983,0.0,0.0,0.0
begyo,20701551,1440605.0,7.000000000000001,0.24
bieny,23722896,1774815.0,7.000000000000001,1.5
bigch,49102716,-42049.0,-0.0,-0.01
binho,137316843,14890467.0,11.0,1.03
bmstl,51262374,-294715.0,-1.0,-0.25
borls,20262617,5622211.0,28.000000000000004,1.56
brkvy,14353605,1145784.0,8.0,5.99
bvsan,80508497,16782638.0,21.0,23.22
bydnr,63830142,638526.0,1.0,0.4
cates,153570870,-1466788.0,-1.0,-0.47
conse,22290949,-647636.0,-3.0,-0.07
cvkmd,430512874,57971300.0,13.0,5.12
cwene,2690177099,389470414.0,14.000000000000002,5.53
dapgm,1517544007,-116058748.0,-8.0,-0.67
dmrgd,178913866,-17174953.0,-10.0,-1.08
dofer,19157529,-472399.0,-2.0,-0.69
ebebk,55602086,10728793.0,19.0,17.28
ekos,44632112,-90626.0,-0.0,-0.01
eksun,14057237,681874.0,5.0,0.29
enery,373126294,57836796.0,16.0,1.36
ensri,70386379,8302050.0,12.0,0.63
eupwr,1749947258,72494679.0,4.0,3.81
euren,79044228,6956412.0,9.0,0.35
eygyo,70972363,9982153.0,14.000000000000002,0.33
forte,173732321,10486395.0,6.0,6.76
fzlgy,115953376,-3759763.0,-3.0,-0.36
gipta,74756201,17873730.0,24.0,13.87
goknr,49708731,1476058.0,3.0,0.69
grsel,88385816,-14864169.0,-17.0,-57.77
gznmi,61405930,-7651974.0,-12.0,-7.51
hatsn,160797497,19486600.0,12.0,6.96
hktm,79239315,1546336.0,2.0,0.22
httbt,21408679,6147596.0,28.999999999999996,10.96
imasm,29474117,-1335307.0,-5.0,-0.11
inves,37811963,1607024.0,4.0,31.08
izenr,194722817,-1953309.0,-1.0,-0.09
kayse,21600628,-4739411.0,-22.0,-0.85
kcaer,171383958,-4534515.0,-3.0,-0.38
klrho,109956643,-1829977.0,-2.0,-1.25
klser,21557382,434150.0,2.0,0.49
klsyn,35325572,-7180716.0,-20.0,-2.57
kmpur,98132954,-3201681.0,-3.0,-0.68
kopol,34284947,3229341.0,9.0,0.51
krpls,13576813,2423119.0,18.0,1.57
ktlev,8418494781,894646683.0,11.0,4.25
kzgyo,30884148,4711092.0,15.0,3.01
lider,1503432932,-282352828.0,-19.0,-14.93
macko,13608212,2637978.0,19.0,6.11
makim,9995441,-76576.0,-1.0,-0.12
marbl,12741133,975737.0,8.0,0.91
mekag,22180016,-1037067.0,-5.0,-0.14
mhrgy,10235149,1183429.0,12.0,0.39
obase,30553235,1719089.0,6.0,2.32
ofsym,64797626,11795965.0,18.0,9.31
oncsm,61490790,1606165.0,3.0,6.57
ozsub,94761053,13999007.0,15.0,5.37
paseu,2262413103,110768848.0,5.0,8.55
pcilt,54669440,3341058.0,6.0,1.97
pltur,17177549,-204189.0,-1.0,-0.25
pnlsn,32710008,1968645.0,6.0,2.82
prdgs,56610491,15651863.0,28.000000000000004,2.05
psgyo,859539488,99246788.0,12.0,0.43
reedr,284923753,35445846.0,12.0,0.87
rnpol,3432538,209449.0,6.0,0.13
rubns,132080209,23194517.0,18.0,4.3
sdttr,262559204,58491208.0,22.0,52.93
segyo,12358174,2009766.0,16.0,0.63
skymd,19783827,1913219.0,10.0,1.36
smrtg,162962723,4662747.0,3.0,0.31
snica,48651978,9162337.0,19.0,0.67
soke,15280454,-2042056.0,-13.0,-2.0
suntk,223075604,-55694472.0,-25.0,-11.09
suwen,116090170,-60214307.0,-52.0,-3.25
tabgd,196609206,14011087.0,7.000000000000001,17.51
tarkm,39664748,5006412.0,13.0,57.59
taten,184381443,-30089473.0,-16.0,-1.79
tera,3541652106,-40691697.0,-1.0,-2.17
tnztp,117803629,26014487.0,22.0,6.47
vrgyo,30015750,545877.0,2.0,0.03
yylgd,69942796,10603427.0,15.0,1.51
patek,296836260,2456731.0,1.0,0.16
OBAMS,319479851,-41821269.0,-13.0,-0.67
LMKDC,123979780,27076936.0,22.0,5.16
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hubvc,5344350,531838.0,10.0,0.27
tatgd,61354169,-4399499.0,-7.000000000000001,-1.22
odas,443631368,-39764783.0,-9.0,-0.68
cwene,2690177099,389470414.0,14.000000000000002,5.53
uluun,62229426,589677.0,1.0,0.08
AYDEM,28164942,1193863.0,4.0,0.98
conse,22290949,-647636.0,-3.0,-0.07
ASELS,11057782033,2045697127.0,19.0,64.12
TUPRS,8891177035,-386070260.0,-4.0,-12.57
KCHOL,5395173280,-223995980.0,-4.0,-8.15
ARCLK,83845104,9954311.0,12.0,11.54
EREGL,6321700050,412850211.0,7.000000000000001,2.71
KRDMD,1921170461,181826805.0,9.0,3.86
SAHOL,3624333925,525621673.0,15.0,12.67
SASA,4654664946,-527980956.0,-11.0,-0.29
ENJSA,689322653,-170455479.0,-25.0,-26.88
AKSA,214917176,5924179.0,3.0,0.34
HEKTS,855962219,71860042.0,8.0,0.25
TKFEN,582995879,15153936.0,3.0,4.33
SISE,2224012777,211247511.0,9.0,4.01
EKGYO,2869308765,228694412.0,8.0,1.46
SOKE,15280454,-2042056.0,-13.0,-2.0
KLKIM,33040291,10207226.0,31.0,7.86
MEPET,7490364,2109031.0,28.000000000000004,5.47
BJKAS,239147414,-43582449.0,-18.0,-0.33
TUREX,72582417,1621968.0,2.0,0.15
ALGYO,44831878,2357002.0,5.0,0.17
GMSTR,512795570,113621926.0,22.0,123.41
KUYAS,679429496,-303443656.0,-45.0,-29.1
ISGYO,33907829,5518401.0,16.0,4.24
SELEC,761115191,-81563873.0,-11.0,-22.6
KRONT,50530663,18948154.0,37.0,8.93
USDTR,15192005,-7703440.0,-51.0,-2240.02
ISFIN,36437038,621358.0,2.0,0.34
BAGFS,23392751,-464786.0,-2.0,-0.47
SARKY,81747212,10756051.0,13.0,3.21
ASTOR,6419795050,1149101098.0,18.0,53.31
BTCIM,567024213,15732342.0,3.0,0.14
LKMNH,28013808,-2543543.0,-9.0,-1.25
ERBOS,5545940,-428869.0,-8.0,-12.04
RAYSG,14958264,-109133.0,-1.0,-1.18
DMSAS,18303890,-946434.0,-5.0,-0.41
KZBGY,50873401,14808183.0,28.999999999999996,0.59
YATAS,11277084,517067.0,5.0,1.49
DOCO,32577728,-5723472.0,-18.0,-1979.76
ESCOM,96592790,11015857.0,11.0,0.61
OZSUB,94761053,13999007.0,15.0,5.37
KLMSN,10532293,170231.0,2.0,0.44
SUMAS,643059,0.0,0.0,0.0
KARTN,301028612,-53121495.0,-18.0,-34.67
trenj,150857350,23497856.0,16.0,14.57
SAFKR,64497254,1090459.0,2.0,0.34
HTTBT,21408679,6147596.0,28.999999999999996,10.96
SONME,1994886,620558.0,31.0,37.26
FROTO,1525978885,131993838.0,9.0,6.9
EMKEL,53523140,-2213454.0,-4.0,-0.76
RYGYO,111409092,37946433.0,34.0,13.83
LOGO,63258985,-3547029.0,-6.0,-7.61
trmet,643098983,26171682.0,4.0,5.16
ALCTL,89863070,5765600.0,6.0,11.31
DIRIT,1635336,0.0,0.0,0.0
EUHOL,2507876,0.0,0.0,0.0
MIATK,348356205,10176270.0,3.0,0.88
OSTIM,27956397,-931799.0,-3.0,-0.05
GSDDE,77890006,10969228.0,14.000000000000002,1.83
AVTUR,28135741,-3468527.0,-12.0,-1.73
ORGE,54620617,1920941.0,4.0,3.56
QUAGR,151865669,750386.0,0.0,0.02
TEZOL,101341182,-23331136.0,-23.0,-2.24
KTSKR,35267302,-816925.0,-2.0,-2.08
AGESA,20322187,2686744.0,13.0,31.83
TTRAK,63896668,-16172465.0,-25.0,-104.0
BIOEN,81570388,-2630374.0,-3.0,-0.57
MTRYO,3632446,-599515.0,-17.0,-1.44
KLGYO,37093208,-398178.0,-1.0,-0.05
JANTS,68898965,-5452807.0,-8.0,-1.21
ANSGR,190713234,18132538.0,10.0,2.61
EGSER,16013206,-2916033.0,-18.0,-0.5
BRKO,4806839,0.0,0.0,0.0
MAALT,25166014,-5360241.0,-21.0,-211.4
SAMAT,4152989,426443.0,10.0,0.55
KNFRT,36183512,5253053.0,15.0,1.6
Z30KP,210370538,76495917.0,36.0,92.47
BRMEN,3914937,0.0,0.0,0.0
DENGE,23919349,-55117.0,-0.0,-0.01
GEREL,325628167,-20651785.0,-6.0,-2.69
ETYAT,10707424,3644617.0,34.0,4.46
cvkmd,430512874,57971300.0,13.0,5.12
PGSUS,2278088569,227197611.0,10.0,15.7
PSGYO,859539488,99246788.0,12.0,0.43
CEMAS,40411135,3544657.0,9.0,0.36
ADESE,78981458,4745348.0,6.0,0.05
SANKO,3409594,20724.0,1.0,0.11
ANHYT,134525008,25403265.0,19.0,22.02
PNLSN,32709913,1968550.0,6.0,2.82
GENIL,370613473,16068144.0,4.0,0.41
ZOREN,66676650,8775097.0,13.0,0.31
CMENT,655872,0.0,0.0,0.0
BOSSA,9014167,-391366.0,-4.0,-0.27
SRVGY,34142971,5525116.0,16.0,0.39
VANGD,13128554,-1700998.0,-13.0,-11.4
PRKAB,22701467,-1700690.0,-7.000000000000001,-2.54
ARASE,19495973,1335416.0,7.000000000000001,7.7
PRKME,35348005,-3410240.0,-10.0,-1.74
KFEIN,32473732,-4609125.0,-14.000000000000002,-1.19
AGYO,1064722,-287694.0,-27.0,-1.97
KRDMB,106892831,-7709382.0,-7.000000000000001,-9.61
GRSEL,88385816,-14864169.0,-17.0,-57.77
FONET,79054623,10655951.0,13.0,0.68
HATEK,111870696,-6979550.0,-6.0,-0.72
ZPLIB,655377482,-152117256.0,-23.0,-42.46
ORMA,707983,0.0,0.0,0.0
DGATE,112195143,-24689524.0,-22.0,-25.3
VERTU,9586170,88835.0,1.0,0.33
IDGYO,5007347,2312575.0,46.0,1.69
CCOLA,439094288,65954655.0,15.0,13.04
TRCAS,36642971,918715.0,3.0,1.05
BNTAS,17414241,3778279.0,22.0,1.36
DESPC,37900547,2043878.0,5.0,2.2
KONYA,32842925,-7523385.0,-23.0,-833.25
BAYRK,17305488,-1425865.0,-8.0,-0.35
INFO,583303638,8728105.0,1.0,0.09
SAYAS,261106179,66733818.0,26.0,12.9
MTRKS,24382319,-3731480.0,-15.0,-4.18
