tekno,6417361549.3,-38742470.2,-0.6,12,24
gyo,9409198597.7,-15218163.1,-0.2,14,32
banka,18236608921.0,-2189206705.5,-12.0,2,6
bist30,47848692205.2,-2469460701.9,-5.2,10,16
harz,15279888169.9,-146839213.8,-1.0,38,57
bist500,97578939807.7,-2204395964.2,-2.3,158,239
enerji,3197881940.9,-25438029.1,-0.8,12,20
bist100,66270219394.8,-3133879073.4,-4.7,32,60
fonlar,3023195676.2,210365148.5,7.0,5,6
fin_sigorta,1933156545.8,-45988793.5,-2.4,3,8
cim_ins,4072881089.7,89023216.4,2.2,7,16
bist_100_disi,44350614929.1,355759550.0,0.8,132,194
