tekno,11020136328.6,210623400.5,1.9,13,23
gyo,11572782020.0,221670198.9,1.9,23,23
banka,24561365914.1,-862669130.2,-3.5,2,6
bist30,62961142033.3,1795432995.7,2.9,13,12
harz,16245439724.5,-226008247.2,-1.4,34,60
bist500,110233354244.1,1715998862.5,1.6,179,212
enerji,5905515462.2,-63921781.5,-1.1,15,17
bist100,87705069795.2,1316529136.0,1.5,40,51
fonlar,892513546.9,72084362.2,8.1,4,2
fin_sigorta,2757536139.8,-284632290.9,-10.3,3,8
cim_ins,2992575309.0,-162199134.9,-5.4,5,18
bist_100_disi,35995161540.0,-270656824.3,-0.8,147,174
