hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,775899422,4657945.0,1.0,0.11
asels,19778625142,2339973134.0,12.0,47.43
reedr,69832933,-5093120.0,-7.000000000000001,-0.41
miatk,3692395885,4107043.0,0.0,0.04
sdttr,186763666,-16454267.0,-9.0,-1.92
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,775899422,4657945.0,1.0,0.11
asels,19778625142,2339973134.0,12.0,47.43
reedr,69832933,-5093120.0,-7.000000000000001,-0.41
miatk,3692395885,4107043.0,0.0,0.04
sdttr,186763666,-16454267.0,-9.0,-1.92
ingrm,25293141,-3846492.0,-15.0,-57.39
atatp,177516702,-20874243.0,-12.0,-34.16
alctl,68903851,-7737142.0,-11.0,-12.95
karel,46617716,-4849091.0,-10.0,-0.87
aztek,15482390,-1040069.0,-7.000000000000001,-0.25
httbt,17969407,1517224.0,8.0,3.01
logo,94105137,7983553.0,8.0,11.77
ardyz,351914347,-31074028.0,-9.0,-7.1
indes,146691903,5478015.0,4.0,0.45
mobtl,32808513,-8024707.0,-24.0,-3.24
penta,16454512,-1264781.0,-8.0,-1.02
netas,168709771,31514104.0,19.0,18.45
arena,17376886,-709820.0,-4.0,-0.83
escom,133297673,-10311054.0,-8.0,-0.4
papil,93644710,19891702.0,21.0,2.78
forte,207345186,12937319.0,6.0,7.17
link,74414820,-9873236.0,-13.0,-0.71
vbtyz,61901356,-8966138.0,-14.000000000000002,-5.48
fonet,87389771,-5641170.0,-6.0,-0.31
mtrks,38870906,-13627752.0,-35.0,-11.37
edata,133367278,-8480747.0,-6.0,-1.1
kfein,20163463,-2260130.0,-11.0,-0.92
pkart,62586002,-10500015.0,-17.0,-20.29
obase,14142799,-2689962.0,-19.0,-6.91
kront,66722715,-15811605.0,-24.0,-5.36
smart,33540238,-10517478.0,-31.0,-7.14
dgate,13659147,1167440.0,9.0,7.65
despc,11698417,-1439449.0,-12.0,-4.99
manas,249875783,-163232861.0,-65.0,-23.27
odine,55636296,0.0,0.0,0.0
patek,603892912,18466252.0,3.0,0.65
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,80852928,8747374.0,11.0,10.23
ekgyo,13039081741,2528569298.0,19.0,4.25
zrgyo,12889163,2408895.0,19.0,3.66
srvgy,48067740,-2597957.0,-5.0,-0.14
rygyo,65362616,-7910135.0,-12.0,-5.52
isgyo,102960932,-7548169.0,-7.000000000000001,-1.84
basgz,9508025,212677.0,2.0,1.01
aksgy,57743212,-6767429.0,-12.0,-1.17
ozkgy,40433304,-4018748.0,-10.0,-1.33
dggyo,4842905,722552.0,15.0,5.05
psgyo,436986042,45480703.0,10.0,0.33
yggyo,18778332,692168.0,4.0,8.17
akmgy,8859602,-313785.0,-4.0,-8.97
asgyo,33816782,976915.0,3.0,0.33
hlgyo,375163348,5242941.0,1.0,0.07
adgyo,49630871,-2723208.0,-5.0,-3.27
akfgy,62867792,15747094.0,25.0,0.66
tsgyo,21360093,144902.0,1.0,0.04
surgy,91767733,-5376077.0,-6.0,-1.8
klgyo,36162530,6204472.0,17.0,0.84
algyo,107058246,20608745.0,19.0,0.72
kzbgy,68050436,-11177383.0,-16.0,-0.31
sngyo,112843596,-7553927.0,-7.000000000000001,-0.22
vkgyo,155158023,17450317.0,11.0,0.22
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,80852928,8747374.0,11.0,10.23
ekgyo,13039081741,2528569298.0,19.0,4.25
zrgyo,12889163,2408895.0,19.0,3.66
srvgy,48067740,-2597957.0,-5.0,-0.14
rygyo,65362616,-7910135.0,-12.0,-5.52
isgyo,102960932,-7548169.0,-7.000000000000001,-1.84
basgz,9508025,212677.0,2.0,1.01
aksgy,57743212,-6767429.0,-12.0,-1.17
ozkgy,40433304,-4018748.0,-10.0,-1.33
dggyo,4842905,722552.0,15.0,5.05
psgyo,436986042,45480703.0,10.0,0.33
yggyo,19839458,702588.0,4.0,7.85
akmgy,8859602,-313785.0,-4.0,-8.97
asgyo,33816782,976915.0,3.0,0.33
hlgyo,375163348,5242941.0,1.0,0.07
adgyo,49630871,-2723208.0,-5.0,-3.27
akfgy,62867792,15747094.0,25.0,0.66
tsgyo,21360093,144902.0,1.0,0.04
surgy,91767733,-5376077.0,-6.0,-1.8
klgyo,36497690,6003580.0,16.0,0.8
algyo,107058246,20608745.0,19.0,0.72
kzbgy,68050436,-11177383.0,-16.0,-0.31
sngyo,112843596,-7553927.0,-7.000000000000001,-0.22
vkgyo,155158023,17450317.0,11.0,0.22
pekgy,2192380045,151726879.0,7.000000000000001,0.75
fzlgy,90350935,4852070.0,5.0,0.45
begyo,10950234,-41500.0,-0.0,-0.01
segyo,14815658,-1424468.0,-10.0,-0.35
tehol,1994196286,-946042.0,-0.0,-0.02
nugyo,17251468,1465763.0,8.0,0.79
agyo,2425414,399215.0,16.0,1.23
dzgyo,40649708,-902311.0,-2.0,-0.18
msgyo,17339336,-3566175.0,-21.0,-1.2
mrgyo,563075394,105031457.0,19.0,0.32
krgyo,109692470,-904744.0,-1.0,-0.03
ozgyo,34136409,-1992466.0,-6.0,-0.12
kgyo,395192235,-28535507.0,-7.000000000000001,-0.82
avgyo,95909852,-5037170.0,-5.0,-0.94
tdgyo,187287838,-77969573.0,-42.0,-7.15
atagy,4238134,288808.0,7.000000000000001,0.69
idgyo,4589623,31724.0,1.0,0.02
mhrgy,67084722,-9867097.0,-15.0,-0.34
avpgy,30201271,1243297.0,4.0,2.28
vrgyo,24772542,2507517.0,10.0,0.18
kzgyo,161959120,61559125.0,38.0,10.84
