hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,320757830,12316203.0,4.0,0.61
asels,20092199397,1584524587.0,8.0,28.96
reedr,121315869,15254258.0,13.0,0.82
miatk,880449071,-28904229.0,-3.0,-1.03
sdttr,216315229,17671453.0,8.0,20.62
ingrm,27403451,-2425290.0,-9.0,-35.79
atatp,198525255,-7774238.0,-4.0,-8.48
alctl,49770890,1300812.0,3.0,3.71
karel,173325429,7976818.0,5.0,0.47
aztek,19459741,645704.0,3.0,0.15
httbt,22293743,-4511303.0,-20.0,-7.67
logo,92848727,-4484231.0,-5.0,-6.59
ardyz,266846357,-49120869.0,-18.0,-12.1
indes,38500749,195961.0,1.0,0.05
mobtl,53011840,-7181839.0,-14.000000000000002,-2.0
penta,17159890,156783.0,1.0,0.12
netas,13080842,3506253.0,27.0,16.34
arena,48460624,-6923830.0,-14.000000000000002,-3.68
escom,122158986,2313588.0,2.0,0.11
papil,75458689,-3711614.0,-5.0,-0.71
forte,185160452,48532573.0,26.0,25.49
link,92689009,3994470.0,4.0,0.3
vbtyz,91250688,-8329422.0,-9.0,-2.86
fonet,95386438,6124075.0,6.0,0.32
mtrks,27003266,-2938898.0,-11.0,-3.22
edata,41655520,-2461934.0,-6.0,-1.09
kfein,57103184,-6912794.0,-12.0,-1.07
pkart,24589840,-1834986.0,-7.000000000000001,-9.34
obase,67221774,6949559.0,10.0,4.22
kront,27030141,3017231.0,11.0,2.67
smart,43859155,4532309.0,10.0,2.58
dgate,11895957,-2574993.0,-22.0,-22.02
despc,10132656,-1662471.0,-16.0,-6.68
manas,470949786,871474.0,0.0,0.06
odine,815509253,-28440867.0,-3.0,-67.96
patek,342167139,-40903651.0,-12.0,-2.62
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,108334324,-19168163.0,-18.0,-17.9
ekgyo,2040836221,10241139.0,1.0,0.1
zrgyo,73490292,6720996.0,9.0,1.65
srvgy,33238289,-6921117.0,-21.0,-0.56
rygyo,26890223,747815.0,3.0,0.84
isgyo,181935464,-403872.0,-0.0,-0.06
basgz,12286813,-2026296.0,-16.0,-7.7
aksgy,47689303,17178641.0,36.0,3.44
ozkgy,14073542,1074611.0,8.0,1.07
dggyo,6017892,-243718.0,-4.0,-1.51
psgyo,232765364,10235240.0,4.0,0.14
yggyo,12044272,241183.0,2.0,4.47
akmgy,7892553,564715.0,7.000000000000001,17.48
asgyo,85481124,-6836910.0,-8.0,-1.01
hlgyo,126058809,13267502.0,11.0,0.56
adgyo,36646995,606177.0,2.0,0.84
akfgy,29031560,6408960.0,22.0,0.61
tsgyo,5520683,1004580.0,18.0,1.18
surgy,122157300,1683748.0,1.0,0.93
klgyo,45002632,9105276.0,20.0,1.02
algyo,132894106,-5835417.0,-4.0,-0.15
kzbgy,106642369,-82728.0,-0.0,-0.0
sngyo,74023481,13981316.0,19.0,0.71
vkgyo,45982315,1110403.0,2.0,0.06
pekgy,913505167,-91870624.0,-10.0,-1.48
fzlgy,381704704,37979660.0,10.0,1.32
begyo,17017583,537109.0,3.0,0.12
segyo,14169577,-2036857.0,-14.000000000000002,-0.64
pehol,1264107173,-200455311.0,-16.0,-6.41
nugyo,12418343,1678051.0,14.000000000000002,1.25
agyo,2573973,-686465.0,-27.0,-2.08
dzgyo,11557669,1900388.0,16.0,1.36
msgyo,6842807,-710940.0,-10.0,-0.64
mrgyo,50992249,2234656.0,4.0,0.06
krgyo,12916863,1740742.0,13.0,0.34
ozgyo,44283741,9626934.0,22.0,0.46
kgyo,209885751,-52123818.0,-25.0,-1.9
avgyo,17968041,530209.0,3.0,0.48
tdgyo,9810156,-39468.0,-0.0,-0.06
atagy,1164465,-451872.0,-39.0,-4.54
