tekno,14354250180.8,1877311263.6,13.1,29,6
gyo,16708875158.0,902249704.9,5.4,36,10
banka,57624822363.7,3926283168.8,6.8,7,0
bist30,105940267433.2,17382630536.7,16.4,20,0
harz,26983806241.2,536981772.6,2.0,78,17
bist500,163538041826.9,18742660543.7,11.5,322,69
enerji,6608516918.0,659913834.7,10.0,30,2
bist100,141992179557.6,20456771601.7,14.4,78,8
fonlar,1748995699.4,-101063105.5,-5.8,10,1
fin_sigorta,1818685738.9,389762556.3,21.4,11,0
cim_ins,6364990421.6,577517141.9,9.1,20,3
bist_100_disi,46242266454.9,2290515350.0,5.0,262,63
