hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,438834834,91390536.0,21.0,3.33
asels,7131978337,-574777121.0,-8.0,-31.82
reedr,222924489,-17308791.0,-8.0,-0.62
miatk,604436139,-99783467.0,-17.0,-6.66
sdttr,250215658,24336371.0,10.0,21.38
ingrm,37192253,-7580800.0,-20.0,-83.43
atatp,75366110,-6500859.0,-9.0,-12.15
alctl,37547880,-2874107.0,-8.0,-10.96
karel,367734446,69184454.0,19.0,2.11
aztek,80088307,-8276024.0,-10.0,-0.48
httbt,30401127,4322046.0,14.000000000000002,5.96
logo,83878398,4168396.0,5.0,6.9
ardyz,374022464,64347341.0,17.0,7.88
indes,87219858,18935597.0,22.0,2.16
mobtl,50516946,-4177427.0,-8.0,-1.09
penta,48194930,5488835.0,11.0,1.62
netas,42291120,8032986.0,19.0,12.06
arena,538433451,72464125.0,13.0,5.0
escom,261421405,-3100385.0,-1.0,-0.06
papil,388996681,33232045.0,9.0,1.51
forte,99908572,5834187.0,6.0,5.55
link,109135277,-2073681.0,-2.0,-0.1
vbtyz,33483941,-1489760.0,-4.0,-0.95
fonet,186064699,-1484193.0,-1.0,-0.04
mtrks,21171112,691911.0,3.0,0.75
edata,271806181,15667244.0,6.0,1.0
kfein,23306145,-723821.0,-3.0,-0.27
pkart,499060756,58758493.0,12.0,13.08
obase,30307275,1391614.0,5.0,1.74
kront,202386031,-21555831.0,-11.0,-2.28
smart,80214198,3817167.0,5.0,1.61
dgate,41222382,5965031.0,14.000000000000002,12.29
despc,111563385,367633.0,0.0,0.15
manas,569997176,977741.0,0.0,0.04
odine,248958718,743372.0,0.0,2.93
patek,266581713,10392445.0,4.0,0.81
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,129108820,-28463718.0,-22.0,-21.13
ekgyo,1415282342,100789550.0,7.000000000000001,1.5
zrgyo,32117083,1987400.0,6.0,1.37
srvgy,50151548,-434114.0,-1.0,-0.03
rygyo,76559364,-7661368.0,-10.0,-3.2
isgyo,29027247,-2368164.0,-8.0,-1.7
basgz,20091060,-13646.0,-0.0,-0.03
aksgy,24742491,-5709646.0,-23.0,-2.02
ozkgy,34734942,-763235.0,-2.0,-0.28
dggyo,4823582,127478.0,3.0,0.83
psgyo,2057230684,443454995.0,22.0,0.65
yggyo,131436005,-8911184.0,-7.000000000000001,-15.63
akmgy,37251310,2829928.0,8.0,21.58
asgyo,23336693,-1711100.0,-7.000000000000001,-0.83
hlgyo,352253464,17523020.0,5.0,0.29
adgyo,40240535,-4381049.0,-11.0,-6.4
akfgy,47350536,4437311.0,9.0,0.27
tsgyo,9970963,-141873.0,-1.0,-0.1
surgy,275281290,-54441068.0,-20.0,-13.62
klgyo,95333069,-6406408.0,-7.000000000000001,-0.35
algyo,291910291,-81685456.0,-28.000000000000004,-1.38
kzbgy,257937099,13237296.0,5.0,0.17
sngyo,121239046,13079272.0,11.0,0.4
vkgyo,48649161,2953815.0,6.0,0.17
pekgy,3006773708,-203755639.0,-7.000000000000001,-0.98
fzlgy,153023104,-5226038.0,-3.0,-0.52
begyo,81886332,-5985389.0,-7.000000000000001,-0.33
segyo,32502940,-7401378.0,-23.0,-1.12
pehol,3248535428,-277350914.0,-9.0,-2.14
nugyo,28755832,2511462.0,9.0,0.87
agyo,8636616,-15837.0,-0.0,-0.02
dzgyo,15601800,2941708.0,19.0,1.5
msgyo,68410361,-1239713.0,-2.0,-0.15
mrgyo,416693445,14463772.0,3.0,0.06
krgyo,27813089,6249168.0,22.0,0.64
ozgyo,9734669,1587353.0,16.0,0.35
kgyo,413966940,69178171.0,17.0,1.93
avgyo,88644513,25691743.0,28.999999999999996,4.16
tdgyo,8827210,-261845.0,-3.0,-0.48
atagy,1737020,295643.0,17.0,2.2
idgyo,9404209,1349187.0,14.000000000000002,0.49
mhrgy,18397683,293203.0,2.0,0.06
avpgy,55939311,-5299941.0,-9.0,-5.38
vrgyo,51985184,700595.0,1.0,0.03
kzgyo,28652916,-43727.0,-0.0,-0.04
eygyo,27801417,-2512270.0,-9.0,-0.26
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,3143271940,137880950.0,4.0,6.06
isctr,7192715933,-495487871.0,-7.000000000000001,-1.0
halkb,1413523162,32329734.0,2.0,0.92
vakbn,923532869,-24505313.0,-3.0,-0.88
akbnk,7248741457,42433165.0,1.0,0.46
skbnk,381671286,-4728481.0,-1.0,-0.16
albrk,169594835,14440975.0,9.0,0.74
ykbnk,5255626195,177773763.0,3.0,1.27
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,539825170,33215237.0,6.0,5.71
arclk,879198969,68282258.0,8.0,9.11
asels,7131978337,-574777121.0,-8.0,-31.82
astor,9898257076,1862624256.0,19.0,41.28
bimas,2813915898,-48158980.0,-2.0,-12.91
ekgyo,1415282342,100789550.0,7.000000000000001,1.5
enkai,714620033,27188311.0,4.0,4.06
eregl,3958758443,23919643.0,1.0,0.2
froto,2963988912,212831896.0,7.000000000000001,7.49
gubrf,863384924,115913807.0,13.0,70.32
hekts,526970001,191774680.0,36.0,1.2
kchol,3308707238,399931446.0,12.0,24.7
trmet,707830065,45956434.0,6.0,8.53
tralt,4597274458,-22336049.0,-0.0,-0.23
krdmd,1743424136,128756135.0,7.000000000000001,2.69
odas,293397407,59634346.0,20.0,1.4
petkm,1862872002,49914335.0,3.0,0.62
pgsus,2558200718,40758037.0,2.0,3.0
sahol,2188127872,22719429.0,1.0,1.02
sasa,11839381058,4462238390.0,38.0,1.16
sise,3188983997,404329383.0,13.0,6.07
tavhl,951745381,-81907848.0,-9.0,-26.45
tcell,2023372566,35282237.0,2.0,1.98
thyao,12229950324,144235884.0,1.0,3.81
toaso,1805718169,192036860.0,11.0,31.39
tuprs,7398430001,-627301038.0,-8.0,-22.8
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,78368752,-1227675.0,-2.0,-0.29
a1cap,127063514,2669511.0,2.0,0.3
adgyo,40240535,-4381049.0,-11.0,-6.4
agrot,362077203,-9093789.0,-3.0,-0.08
ahgaz,154395723,8247137.0,5.0,1.46
akfye,228242327,-27144811.0,-12.0,-2.66
alfas,50624795,5613332.0,11.0,4.4
asgyo,23336693,-1711100.0,-7.000000000000001,-0.83
atakp,46731525,-8066466.0,-17.0,-8.81
astor,9898257076,1862624256.0,19.0,41.28
aztek,80088307,-8276024.0,-10.0,-0.48
barma,74093738,-2160846.0,-3.0,-1.69
begyo,81886332,-5985389.0,-7.000000000000001,-0.33
bieny,47929424,3279528.0,7.000000000000001,1.77
bigch,33401071,-2000732.0,-6.0,-0.46
binho,911088798,-29677855.0,-3.0,-0.35
bmstl,113934765,-2836738.0,-2.0,-2.11
borls,1446961066,90914729.0,6.0,0.45
brkvy,78228411,-17444140.0,-22.0,-21.13
bvsan,57659727,6196982.0,11.0,11.98
bydnr,25427409,-435707.0,-2.0,-0.64
cates,121992003,-6719920.0,-6.0,-2.45
conse,140217105,-3766588.0,-3.0,-0.09
cvkmd,754757382,30384860.0,4.0,1.32
cwene,810729726,-10579741.0,-1.0,-0.46
dapgm,534619347,10106466.0,2.0,0.2
dmrgd,213035137,14801942.0,7.000000000000001,0.34
dofer,43157311,-3687086.0,-9.0,-2.99
ebebk,30389546,1919629.0,6.0,4.56
ekos,107668568,11272892.0,10.0,0.61
eksun,18517112,-108710.0,-1.0,-0.03
enery,799339476,220198828.0,28.000000000000004,2.56
ensri,292313573,62352455.0,21.0,4.52
eupwr,560215950,-14115505.0,-3.0,-1.04
euren,2257910932,407595862.0,18.0,1.03
eygyo,27801417,-2512270.0,-9.0,-0.26
forte,99908572,5834187.0,6.0,5.55
fzlgy,153023104,-5226038.0,-3.0,-0.52
gipta,303267794,-52433504.0,-17.0,-14.49
goknr,124621963,9196093.0,7.000000000000001,1.64
grsel,109893131,-3568357.0,-3.0,-9.83
gznmi,236383940,8714130.0,4.0,2.82
hatsn,225695669,23399531.0,10.0,4.64
hktm,243680689,15792812.0,6.0,1.0
httbt,30401127,4322046.0,14.000000000000002,5.96
imasm,157829396,8805892.0,6.0,0.22
inves,145597376,-20797622.0,-14.000000000000002,-75.5
izenr,406012173,11462326.0,3.0,0.29
kayse,60512088,-6616639.0,-11.0,-0.54
kcaer,158705165,-18820781.0,-12.0,-1.35
klrho,491670022,60746926.0,12.0,13.42
klser,31327539,2574203.0,8.0,2.21
klsyn,16573313,2544096.0,15.0,1.81
kmpur,59410177,10072133.0,17.0,3.16
kopol,99255365,-5183735.0,-5.0,-0.33
krpls,13048838,-831115.0,-6.0,-0.58
ktlev,2519832257,19908214.0,1.0,0.81
kzgyo,28652916,-43727.0,-0.0,-0.04
lider,144614238,-7178979.0,-5.0,-6.77
macko,92511506,4631608.0,5.0,2.11
makim,77980812,3434027.0,4.0,0.86
marbl,67602986,-14190604.0,-21.0,-2.92
mekag,162238046,3803846.0,2.0,0.1
mhrgy,18397683,293203.0,2.0,0.06
obase,30307275,1391614.0,5.0,1.74
ofsym,33054687,-797258.0,-2.0,-1.41
oncsm,125056295,10287042.0,8.0,23.55
ozsub,88065438,10018419.0,11.0,2.76
paseu,10031349668,-3814179250.0,-38.0,-48.25
pcilt,43128499,-9764657.0,-23.0,-5.92
pltur,352075575,23912327.0,7.000000000000001,1.87
pnlsn,80667542,2292124.0,3.0,1.34
prdgs,135433246,3751987.0,3.0,0.24
psgyo,2057230684,443454995.0,22.0,0.65
reedr,222924489,-17308791.0,-8.0,-0.62
rnpol,30142930,-6266129.0,-21.0,-0.64
rubns,57923128,7585015.0,13.0,4.13
sdttr,250215658,24336371.0,10.0,21.38
segyo,32502940,-7401378.0,-23.0,-1.12
skymd,41530692,-1554497.0,-4.0,-0.5
smrtg,138442435,-24229904.0,-18.0,-1.3
snica,29013212,-1242942.0,-4.0,-0.18
soke,167012299,-2416405.0,-1.0,-0.26
suntk,47093372,6091433.0,13.0,4.68
suwen,18399144,35825.0,0.0,0.02
tabgd,168349727,50295552.0,30.0,78.4
tarkm,52690302,-10464234.0,-20.0,-81.65
taten,549748031,-36057880.0,-7.000000000000001,-0.93
tera,1607514218,-322234724.0,-20.0,-53.4
tnztp,36937565,3073791.0,8.0,2.06
vrgyo,51985184,700595.0,1.0,0.03
yylgd,58923200,1334130.0,2.0,0.26
patek,266581713,10392445.0,4.0,0.81
OBAMS,290690133,-5718185.0,-2.0,-0.16
LMKDC,120642709,626893.0,1.0,0.18
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hubvc,19837588,-4517767.0,-23.0,-0.86
tatgd,41428168,-446739.0,-1.0,-0.18
odas,293397407,59634346.0,20.0,1.4
cwene,810729726,-10579741.0,-1.0,-0.46
uluun,211281555,-31363764.0,-15.0,-1.24
AYDEM,53966906,2292703.0,4.0,1.23
conse,140217105,-3766588.0,-3.0,-0.09
ASELS,7131978337,-574777121.0,-8.0,-31.82
TUPRS,7398430001,-627301038.0,-8.0,-22.8
KCHOL,3308707238,399931446.0,12.0,24.7
ARCLK,879198969,68282258.0,8.0,9.11
EREGL,3958758443,23919643.0,1.0,0.2
KRDMD,1743424136,128756135.0,7.000000000000001,2.69
SAHOL,2188127872,22719429.0,1.0,1.02
SASA,11839381058,4462238390.0,38.0,1.16
ENJSA,557724025,39524985.0,7.000000000000001,8.52
AKSA,200310169,30134921.0,15.0,1.59
HEKTS,526970001,191774680.0,36.0,1.2
