hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,243618743,-26720213.0,-11.0,-7.21
asels,7646815268,568233074.0,7.000000000000001,16.75
reedr,334622584,61959887.0,19.0,1.28
miatk,402312009,-34336814.0,-9.0,-3.19
sdttr,91853499,15079397.0,16.0,30.03
ingrm,9034423,34506.0,0.0,1.62
atatp,119358319,-17674845.0,-15.0,-20.59
alctl,34824614,7840326.0,23.0,23.58
karel,30533442,-4972837.0,-16.0,-1.39
aztek,16698842,3198463.0,19.0,0.81
httbt,30402344,-1993154.0,-7.000000000000001,-2.76
logo,41122067,-5235848.0,-13.0,-19.74
ardyz,128513976,3365480.0,3.0,0.91
indes,21525230,3243386.0,15.0,1.06
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,243618743,-26720213.0,-11.0,-7.21
asels,7646815268,568233074.0,7.000000000000001,16.75
reedr,334622584,61959887.0,19.0,1.28
miatk,402312009,-34336814.0,-9.0,-3.19
sdttr,91853499,15079397.0,16.0,30.03
ingrm,9034423,34506.0,0.0,1.62
atatp,119358319,-17674845.0,-15.0,-20.59
alctl,34824614,7840326.0,23.0,23.58
karel,30533442,-4972837.0,-16.0,-1.39
aztek,16698842,3198463.0,19.0,0.81
httbt,30402344,-1993154.0,-7.000000000000001,-2.76
logo,41122067,-5235848.0,-13.0,-19.74
ardyz,128513976,3365480.0,3.0,0.91
indes,21525230,3243386.0,15.0,1.06
mobtl,47499354,-2445886.0,-5.0,-0.42
penta,53828668,-10904893.0,-20.0,-2.71
netas,22642918,5418005.0,24.0,13.79
arena,17347986,2009485.0,12.0,3.06
escom,110013344,31582971.0,28.999999999999996,0.96
papil,170384082,-9971977.0,-6.0,-0.99
forte,99424055,-11330795.0,-11.0,-9.31
link,380112805,38775732.0,10.0,22.97
vbtyz,66535557,-931053.0,-1.0,-0.23
fonet,71159912,1552776.0,2.0,0.06
mtrks,21578131,-168599.0,-1.0,-0.17
edata,24968627,2764317.0,11.0,0.57
kfein,29135710,6344527.0,22.0,1.85
