hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,667711808,-95647525.0,-14.000000000000002,-2.22
asels,11826731743,-979893140.0,-8.0,-26.96
reedr,78232922,4977830.0,6.0,0.37
miatk,530670026,41718271.0,8.0,2.9
sdttr,758787429,-189812377.0,-25.0,-61.1
ingrm,17156190,26350.0,0.0,0.63
atatp,237641230,12018229.0,5.0,7.39
alctl,27871948,-656173.0,-2.0,-2.73
karel,50771999,-2840556.0,-6.0,-0.48
aztek,23725153,4147493.0,17.0,0.74
httbt,79542209,15065002.0,19.0,7.07
logo,135258969,-7473182.0,-6.0,-7.43
ardyz,147669684,-5878524.0,-4.0,-1.56
indes,33801781,5127131.0,15.0,1.1
mobtl,64823689,15652617.0,24.0,2.25
penta,43846694,-5441929.0,-12.0,-1.57
netas,18060682,1519522.0,8.0,4.51
arena,18627256,-3157079.0,-17.0,-4.06
escom,569380054,-34566984.0,-6.0,-0.34
papil,314386166,-50927407.0,-16.0,-2.67
forte,153389803,6250661.0,4.0,3.58
link,124609856,12644765.0,10.0,21.98
vbtyz,38970480,-2640286.0,-7.000000000000001,-1.38
fonet,643518433,-66241100.0,-10.0,-0.45
mtrks,34401157,-4425958.0,-13.0,-2.65
edata,627185558,30360936.0,5.0,0.64
kfein,41654220,690289.0,2.0,0.15
pkart,25082111,-182328.0,-1.0,-0.53
obase,11824458,2252976.0,19.0,6.29
kront,49150272,2026579.0,4.0,0.66
smart,499536715,-41463017.0,-8.0,-3.22
dgate,19805890,2618095.0,13.0,8.59
despc,21029863,3403516.0,16.0,6.1
manas,2196228182,-141579663.0,-6.0,-1.18
odine,420949802,16806962.0,4.0,25.28
patek,233275943,-14886219.0,-6.0,-1.1
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,137446304,3529671.0,3.0,1.98
ekgyo,3194906068,1323013.0,0.0,0.01
zrgyo,34756566,3900903.0,11.0,2.42
srvgy,48232856,-3931291.0,-8.0,-0.23
rygyo,104513169,31547435.0,30.0,9.07
isgyo,52565096,2738824.0,5.0,1.09
basgz,34439990,6500507.0,19.0,8.68
aksgy,27202240,5599761.0,21.0,1.68
ozkgy,84344702,19570352.0,23.0,2.97
dggyo,1302150,-303787.0,-23.0,-6.63
psgyo,315455706,-6615820.0,-2.0,-0.04
yggyo,44306364,2638785.0,6.0,9.09
akmgy,7079924,-331509.0,-5.0,-10.37
asgyo,23192148,-1161466.0,-5.0,-0.55
hlgyo,482150605,-113032395.0,-23.0,-1.25
adgyo,28580255,-7239948.0,-25.0,-12.73
akfgy,58975020,501052.0,1.0,0.02
tsgyo,10475932,-547794.0,-5.0,-0.34
surgy,525041815,-102961617.0,-20.0,-11.17
klgyo,112177010,11956025.0,11.0,0.63
algyo,159900111,3156348.0,2.0,0.1
kzbgy,105377685,17199295.0,16.0,0.58
sngyo,155480607,-4602116.0,-3.0,-0.12
vkgyo,130217281,4528562.0,3.0,0.1
pekgy,2498336482,-10975842.0,-0.0,-0.06
fzlgy,115634523,-22634089.0,-20.0,-2.47
begyo,35034125,-28127.0,-0.0,-0.0
segyo,94746671,-9992965.0,-11.0,-0.62
pehol,1024945029,-159665788.0,-16.0,-2.39
nugyo,17554550,-1245737.0,-7.000000000000001,-0.62
agyo,4659565,560148.0,12.0,0.89
dzgyo,42352823,8576090.0,20.0,1.47
msgyo,11417752,-1119803.0,-10.0,-0.55
mrgyo,348723832,-11466182.0,-3.0,-0.05
krgyo,29099226,2377327.0,8.0,0.23
ozgyo,15659795,2348661.0,15.0,0.29
kgyo,65811563,-5672973.0,-9.0,-0.66
ygyo,11923551,0.0,0.0,0.0
avgyo,11352116,-1479704.0,-13.0,-1.64
tdgyo,16856315,-563500.0,-3.0,-0.6
atagy,3791575,680700.0,18.0,2.28
idgyo,5724215,2216806.0,39.0,1.5
mhrgy,22779818,812655.0,4.0,0.12
avpgy,50208230,6903213.0,14.000000000000002,6.65
vrgyo,31938798,-5729706.0,-18.0,-0.39
kzgyo,37420669,-1487616.0,-4.0,-0.83
eygyo,244160240,-8392433.0,-3.0,-0.15
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,3660508677,214761699.0,6.0,7.75
isctr,10639647750,814606549.0,8.0,1.05
halkb,4389880216,1199892833.0,27.0,12.36
vakbn,1973627929,14112118.0,1.0,0.24
akbnk,12016716345,277459453.0,2.0,1.65
skbnk,499132558,3709386.0,1.0,0.07
albrk,312191755,-11791008.0,-4.0,-0.3
ykbnk,7258235743,726113587.0,10.0,3.42
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,574294652,91080245.0,16.0,14.5
arclk,238177713,5391033.0,2.0,2.4
asels,11826731743,-979893140.0,-8.0,-26.96
astor,4909307077,426143517.0,9.0,15.26
bimas,3659522219,131983972.0,4.0,22.62
ekgyo,3194906068,1323013.0,0.0,0.01
enkai,1019665668,138779426.0,14.000000000000002,12.18
eregl,4213366550,-71820768.0,-2.0,-0.48
froto,1321295042,100358421.0,8.0,8.12
gubrf,1955700586,-361612714.0,-18.0,-91.0
hekts,377638281,28299843.0,7.000000000000001,0.21
kchol,5073791085,148948307.0,3.0,5.38
trmet,479018636,29861339.0,6.0,8.91
tralt,3586296507,103840422.0,3.0,1.44
krdmd,1268338365,20085116.0,2.0,0.47
odas,1364958963,179148425.0,13.0,0.8
petkm,2737024430,-636489644.0,-23.0,-4.29
pgsus,4644642314,75372123.0,2.0,2.78
sahol,4100933435,495992862.0,12.0,10.67
sasa,3354949729,61349457.0,2.0,0.04
sise,1367832812,147943695.0,11.0,4.28
tavhl,699899010,1489537.0,0.0,0.6
tcell,2160246691,169809997.0,8.0,8.25
thyao,14001130256,2688622544.0,19.0,52.33
toaso,930317819,37009636.0,4.0,11.3
tuprs,17039745888,-1333089680.0,-8.0,-20.56
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,144122377,9107970.0,6.0,1.0
a1cap,310180587,-36787437.0,-12.0,-1.89
adgyo,28580255,-7239948.0,-25.0,-12.73
agrot,50314068,731556.0,1.0,0.04
ahgaz,82197445,-790817.0,-1.0,-0.23
akfye,328786113,12106470.0,4.0,0.73
alfas,59617407,790726.0,1.0,0.49
asgyo,23192148,-1161466.0,-5.0,-0.55
atakp,27913153,-428593.0,-2.0,-0.8
astor,4909307077,426143517.0,9.0,15.26
aztek,23725153,4147493.0,17.0,0.74
barma,42365388,-4150822.0,-10.0,-4.16
begyo,35034125,-28127.0,-0.0,-0.0
bieny,54420011,-2763811.0,-5.0,-1.13
bigch,20060782,3958740.0,20.0,1.36
binho,186531441,2147952.0,1.0,0.09
bmstl,521446518,6226863.0,1.0,0.94
borls,114823246,-17103517.0,-15.0,-0.44
brkvy,47752062,305959.0,1.0,0.55
bvsan,50003421,1298488.0,3.0,2.66
bydnr,13541997,-8748.0,-0.0,-0.02
cates,115556400,35764910.0,31.0,13.27
conse,36745921,-2374288.0,-6.0,-0.2
cvkmd,882821509,-79670115.0,-9.0,-2.86
cwene,405004603,-7493332.0,-2.0,-0.52
dapgm,269627441,64161930.0,24.0,2.72
dmrgd,73446766,6712011.0,9.0,0.32
dofer,27933875,678354.0,2.0,0.8
ebebk,25940270,-1760764.0,-7.000000000000001,-4.11
ekos,105650717,-1103210.0,-1.0,-0.06
eksun,68032540,7911083.0,12.0,0.65
enery,124222146,-1086506.0,-1.0,-0.08
ensri,106297396,-8374212.0,-8.0,-2.4
eupwr,292842408,7235252.0,2.0,0.86
euren,175795221,9421731.0,5.0,0.24
eygyo,244160240,-8392433.0,-3.0,-0.15
forte,153389803,6250661.0,4.0,3.58
fzlgy,115634523,-22634089.0,-20.0,-2.47
gipta,442443992,14670239.0,3.0,1.91
goknr,106714492,-8915687.0,-8.0,-1.77
grsel,376835443,-40805781.0,-11.0,-37.63
gznmi,401355812,-3551950.0,-1.0,-0.52
hatsn,29350426,-4433370.0,-15.0,-5.52
hktm,16206219,-371177.0,-2.0,-0.25
httbt,79542209,15065002.0,19.0,7.07
imasm,112245011,-9628646.0,-9.0,-0.3
inves,123256664,-322971.0,-0.0,-0.9
izenr,114560291,9004736.0,8.0,0.71
kayse,116287330,5010518.0,4.0,0.22
kcaer,190523449,-4908698.0,-3.0,-0.28
klrho,443049579,1461529.0,0.0,0.55
klser,49774079,-863939.0,-2.0,-0.44
klsyn,52137583,9426790.0,18.0,1.59
kmpur,19215880,2454987.0,13.0,1.69
kopol,44281333,2171546.0,5.0,0.29
krpls,147983514,-16673264.0,-11.0,-0.97
ktlev,1471130940,0.0,0.0,0.0
kzgyo,37420669,-1487616.0,-4.0,-0.83
lider,75820191,-9587022.0,-13.0,-9.99
macko,41363839,-1722331.0,-4.0,-1.28
makim,9444469,1712104.0,18.0,2.8
marbl,14852305,-300614.0,-2.0,-0.23
mekag,361780675,55468321.0,15.0,1.04
mhrgy,22779818,812655.0,4.0,0.12
obase,11824458,2252976.0,19.0,6.29
ofsym,47885110,-20726012.0,-43.0,-28.0
oncsm,91098513,-10818411.0,-12.0,-27.24
ozsub,46756538,9274790.0,20.0,3.8
paseu,3651863858,-977770621.0,-27.0,-32.25
pcilt,58384891,-14712769.0,-25.0,-5.95
pltur,26897653,-2097799.0,-8.0,-1.63
pnlsn,106414157,-1133918.0,-1.0,-0.49
prdgs,51405798,11151758.0,22.0,1.39
psgyo,315455706,-6615820.0,-2.0,-0.04
reedr,78232922,4977830.0,6.0,0.37
rnpol,8395221,-478593.0,-6.0,-0.11
rubns,12127227,-1043198.0,-9.0,-2.75
sdttr,758787429,-189812377.0,-25.0,-61.1
segyo,94746671,-9992965.0,-11.0,-0.62
skymd,61326732,2594824.0,4.0,0.5
smrtg,52699247,6364421.0,12.0,0.83
snica,25052972,-800434.0,-3.0,-0.12
soke,307794830,33463094.0,11.0,1.62
suntk,37588201,9532403.0,25.0,8.96
suwen,23815578,1237286.0,5.0,0.47
tabgd,305811345,51545890.0,17.0,40.91
tarkm,55289842,957488.0,2.0,6.33
taten,217701019,77750386.0,36.0,3.37
tera,1118255550,4310028.0,0.0,1.11
tnztp,100036973,23557433.0,24.0,5.74
vrgyo,31938798,-5729706.0,-18.0,-0.39
yylgd,170627156,12904264.0,8.0,0.82
patek,233275943,-14886219.0,-6.0,-1.1
OBAMS,298808179,21667393.0,7.000000000000001,0.53
LMKDC,264062051,11828611.0,4.0,1.46
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hubvc,16375265,3387785.0,21.0,0.96
tatgd,150851498,629171.0,0.0,0.07
odas,1364958963,179148425.0,13.0,0.8
cwene,405004603,-7493332.0,-2.0,-0.52
uluun,108444073,20928624.0,19.0,1.54
AYDEM,207393507,-29691985.0,-14.000000000000002,-4.01
conse,36745921,-2374288.0,-6.0,-0.2
ASELS,11826731743,-979893140.0,-8.0,-26.96
TUPRS,17039745888,-1333089680.0,-8.0,-20.56
KCHOL,5073791085,148948307.0,3.0,5.38
ARCLK,238177713,5391033.0,2.0,2.4
EREGL,4213366550,-71820768.0,-2.0,-0.48
KRDMD,1268338365,20085116.0,2.0,0.47
SAHOL,4100933435,495992862.0,12.0,10.67
SASA,3354949729,61349457.0,2.0,0.04
ENJSA,295311541,21111556.0,7.000000000000001,7.37
AKSA,226485828,-15397976.0,-7.000000000000001,-0.68
HEKTS,377638281,28299843.0,7.000000000000001,0.21
TKFEN,592917238,90061515.0,15.0,11.53
SISE,1367832812,147943695.0,11.0,4.28
EKGYO,3194906068,1323013.0,0.0,0.01
SOKE,307794830,33463094.0,11.0,1.62
KLKIM,148305791,-24222747.0,-16.0,-5.58
MEPET,38504241,5971088.0,16.0,4.52
BJKAS,61726446,-10421626.0,-17.0,-0.25
TUREX,81149235,-1916316.0,-2.0,-0.16
ALGYO,159900111,3156348.0,2.0,0.1
GMSTR,1431068466,-57572416.0,-4.0,-29.88
KUYAS,621409604,-101333820.0,-16.0,-11.11
ISGYO,52565096,2738824.0,5.0,1.09
SELEC,162214479,14347092.0,9.0,6.81
KRONT,49150272,2026579.0,4.0,0.66
USDTR,42838800,-4764716.0,-11.0,-459.07
ISFIN,22521974,1785095.0,8.0,1.53
BAGFS,431147217,-40021611.0,-9.0,-3.28
SARKY,289169268,-9503737.0,-3.0,-0.98
ASTOR,4909307077,426143517.0,9.0,15.26
BTCIM,1061118511,-35867590.0,-3.0,-0.18
LKMNH,28548535,2734314.0,10.0,1.51
ERBOS,11414830,1341146.0,12.0,20.8
RAYSG,70476876,-6606858.0,-9.0,-17.93
DMSAS,21115805,-69458.0,-0.0,-0.03
KZBGY,105377685,17199295.0,16.0,0.58
YATAS,53726891,-2323091.0,-4.0,-1.74
DOCO,106487845,-42942678.0,-40.0,-3622.94
ESCOM,569380054,-34566984.0,-6.0,-0.34
OZSUB,46756538,9274790.0,20.0,3.8
KLMSN,56405532,2443882.0,4.0,1.35
SUMAS,609022,0.0,0.0,0.0
KARTN,21471305,-2254271.0,-10.0,-7.22
trenj,255624652,-33566729.0,-13.0,-13.4
SAFKR,149604577,12091030.0,8.0,2.16
HTTBT,79542209,15065002.0,19.0,7.07
SONME,8621130,2743724.0,32.0,47.97
FROTO,1321295042,100358421.0,8.0,8.12
EMKEL,89572574,-8738852.0,-10.0,-1.77
RYGYO,104513169,31547435.0,30.0,9.07
LOGO,135258969,-7473182.0,-6.0,-7.43
trmet,479018636,29861339.0,6.0,8.91
ALCTL,27871948,-656173.0,-2.0,-2.73
DIRIT,1973002,0.0,0.0,0.0
EUHOL,10685014,0.0,0.0,0.0
MIATK,530670026,41718271.0,8.0,2.9
OSTIM,41860678,-6717558.0,-16.0,-0.43
GSDDE,10849011,2232897.0,21.0,1.91
AVTUR,43043747,12707889.0,30.0,6.37
ORGE,67053191,216064.0,0.0,0.21
QUAGR,561908654,33668450.0,6.0,0.17
TEZOL,144122377,9107970.0,6.0,1.0
KTSKR,30982470,3363158.0,11.0,6.94
AGESA,75494004,-1297889.0,-2.0,-3.59
TTRAK,245519283,-5289320.0,-2.0,-9.6
BIOEN,44930247,-4524082.0,-10.0,-1.67
MTRYO,2092092,-154684.0,-7.000000000000001,-0.69
KLGYO,112177010,11956025.0,11.0,0.63
JANTS,37427263,-2116259.0,-6.0,-0.93
ANSGR,178540888,26680507.0,15.0,3.94
EGSER,9830064,-172543.0,-2.0,-0.05
BRKO,3643125,0.0,0.0,0.0
MAALT,52722758,3998372.0,8.0,67.39
SAMAT,5941954,-1112750.0,-19.0,-1.01
KNFRT,18400355,1405081.0,8.0,0.8
Z30KP,57119756,-10477998.0,-18.0,-38.72
BRMEN,1391518,0.0,0.0,0.0
DENGE,23953794,1990763.0,8.0,0.21
GEREL,63762083,-746752.0,-1.0,-0.29
ETYAT,2972848,371130.0,12.0,2.86
cvkmd,882821509,-79670115.0,-9.0,-2.86
PGSUS,4644642314,75372123.0,2.0,2.78
PSGYO,315455706,-6615820.0,-2.0,-0.04
CEMAS,67448249,772617.0,1.0,0.05
ADESE,226022521,10494581.0,5.0,0.05
SANKO,11177157,-2079880.0,-19.0,-3.66
ANHYT,107899513,-10224697.0,-9.0,-10.23
PNLSN,106414157,-1133918.0,-1.0,-0.49
GENIL,608228969,-115337653.0,-19.0,-1.62
ZOREN,139996392,214386.0,0.0,0.0
CMENT,1255286,0.0,0.0,0.0
BOSSA,4698089,390937.0,8.0,0.52
SRVGY,48232856,-3931291.0,-8.0,-0.23
VANGD,42671612,-5002438.0,-12.0,-8.78
PRKAB,54014532,-2719674.0,-5.0,-2.05
ARASE,32421295,9441013.0,28.999999999999996,23.45
