tekno,11342579354.2,-138050488.7,-1.2,20,16
gyo,11126936666.3,500714171.6,4.5,23,22
banka,26706371565.9,2498229959.4,9.4,5,2
bist30,75501965391.7,11352423148.7,15.0,21,4
harz,26636564564.7,-480222423.3,-1.8,50,45
bist500,145426109788.4,13440258187.4,9.2,253,142
enerji,15346263745.0,620829839.1,4.0,20,12
bist100,110345286814.7,13993504143.7,12.7,68,22
fonlar,1611613070.1,566535350.1,35.2,10,1
fin_sigorta,2292732475.7,279676989.1,12.2,7,4
cim_ins,4689887547.7,-54455974.9,-1.2,17,6
bist_100_disi,53315965900.1,609589000.9,1.1,201,125
