tekno,18434667909.6,-496893398.6,-2.7,10,25
gyo,11757700907.1,-2464640296.6,-21.0,26,19
banka,25067068148.7,625559840.2,2.5,6,2
bist30,111079554181.9,-1203470833.0,-1.1,12,12
harz,41156908080.2,-249352902.6,-0.6,50,44
bist500,158033298329.2,-1864729062.0,-1.2,196,193
enerji,16810506001.8,-128580694.5,-0.8,16,16
bist100,149710513678.4,-1914695688.0,-1.3,54,35
fonlar,129447935.2,-41355026.6,-31.9,1,9
fin_sigorta,2542857541.2,350593503.4,13.8,6,5
cim_ins,2559695187.2,-24446976.3,-1.0,13,10
bist_100_disi,46509572151.9,290657883.3,0.6,155,166
