tekno,25644457286.9,-3625193308.1,-14.1,10,26
gyo,11019440578.5,-133984718.2,-1.2,17,29
banka,35963406307.6,-717803241.4,-2.0,2,6
bist30,103919767052.2,-4378081818.4,-4.2,11,14
harz,50645648039.6,-40651576.3,-0.1,46,49
bist500,179529858122.2,-5722680578.2,-3.2,137,255
enerji,11690829606.2,-500964310.0,-4.3,14,18
bist100,150638812286.0,-3987012969.4,-2.6,36,55
fonlar,591816784.0,-95209414.3,-16.1,2,9
fin_sigorta,2079262303.3,30080633.9,1.4,5,6
cim_ins,4257860678.5,-142494097.4,-3.3,5,18
bist_100_disi,55860224605.3,-1483355122.7,-2.7,111,211
