banka,58046524019.8,4759666758.2,8.2,4,2
bist30,138414616690.3,3306612574.5,2.4,16,9
tekno,15804298522.9,-162830759.7,-1.0,22,14
gyo,11393148316.3,621576930.8,5.5,25,21
banka,58046524019.8,4759666758.2,8.2,4,2
harz,27600506124.6,297907850.5,1.1,53,42
bist500,190715853396.7,4799515740.5,2.5,233,162
enerji,9496773404.7,331504472.4,3.5,16,16
bist100,173570785818.8,4541813125.9,2.6,51,40
fonlar,1217217576.5,288952390.1,23.7,4,7
fin_sigorta,3203645891.4,101995092.9,3.2,7,4
cim_ins,4728318707.4,109034359.6,2.3,14,9
bist_100_disi,55027234097.9,1937015571.7,3.5,192,132
