hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,188102292,18159351.0,10.0,1.54
asels,8774557926,1805675763.0,21.0,73.55
reedr,67476914,-5896938.0,-9.0,-0.54
miatk,582279763,39076568.0,7.000000000000001,2.05
sdttr,136938444,-465321.0,-0.0,-0.84
ingrm,21042340,11294.0,0.0,0.21
atatp,454940364,31869305.0,7.000000000000001,18.06
alctl,138881898,-28116224.0,-20.0,-32.77
karel,57247099,3426937.0,6.0,0.52
aztek,85245225,6042242.0,7.000000000000001,0.33
httbt,11564808,1442588.0,12.0,4.84
logo,142226322,15643011.0,11.0,15.17
ardyz,237798144,18680889.0,8.0,6.14
indes,33561303,-2139414.0,-6.0,-0.64
mobtl,30870007,612527.0,2.0,0.28
penta,19427815,-1978716.0,-10.0,-1.4
netas,25076659,-3452545.0,-14.000000000000002,-8.81
arena,23067587,-625656.0,-3.0,-0.56
escom,152429888,-10301629.0,-7.000000000000001,-0.39
papil,110749082,14258021.0,13.0,1.5
forte,547709891,67311781.0,12.0,15.03
link,82043062,3528103.0,4.0,0.26
vbtyz,115487051,12862167.0,11.0,3.47
fonet,90750451,-6696729.0,-7.000000000000001,-0.37
mtrks,37070492,1956734.0,5.0,1.44
edata,55732567,-956799.0,-2.0,-0.32
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,188102292,18159351.0,10.0,1.54
asels,8774557926,1805675763.0,21.0,73.55
reedr,67476914,-5896938.0,-9.0,-0.54
miatk,582279763,39076568.0,7.000000000000001,2.05
sdttr,136938444,-465321.0,-0.0,-0.84
ingrm,21042340,11294.0,0.0,0.21
atatp,454940364,31869305.0,7.000000000000001,18.06
alctl,138881898,-28116224.0,-20.0,-32.77
karel,57247099,3426937.0,6.0,0.52
aztek,85245225,6042242.0,7.000000000000001,0.33
httbt,11564808,1442588.0,12.0,4.84
logo,142226322,15643011.0,11.0,15.17
ardyz,237798144,18680889.0,8.0,6.14
indes,33561303,-2139414.0,-6.0,-0.64
mobtl,30870007,612527.0,2.0,0.28
penta,19427815,-1978716.0,-10.0,-1.4
netas,25076659,-3452545.0,-14.000000000000002,-8.81
arena,23067587,-625656.0,-3.0,-0.56
escom,152429888,-10301629.0,-7.000000000000001,-0.39
papil,110749082,14258021.0,13.0,1.5
forte,547709891,67311781.0,12.0,15.03
link,82043062,3528103.0,4.0,0.26
vbtyz,115487051,12862167.0,11.0,3.47
fonet,90750451,-6696729.0,-7.000000000000001,-0.37
mtrks,37070492,1956734.0,5.0,1.44
edata,55732567,-956799.0,-2.0,-0.32
kfein,39528000,11611948.0,28.999999999999996,2.48
pkart,35058687,-4290504.0,-12.0,-14.58
obase,26243337,-4167799.0,-16.0,-6.59
kront,40472230,6760260.0,17.0,4.3
smart,22116291,608536.0,3.0,0.65
dgate,45235699,-8033813.0,-18.0,-18.67
despc,27321766,-3630223.0,-13.0,-5.08
manas,278076485,-65499280.0,-24.0,-7.3
odine,753785340,94941168.0,13.0,356.28
patek,196402134,-5976068.0,-3.0,-0.61
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,149559944,-1880743.0,-1.0,-1.15
ekgyo,1356925558,-37420546.0,-3.0,-0.49
zrgyo,12504245,2339523.0,19.0,3.37
srvgy,22803434,-2239618.0,-10.0,-0.24
rygyo,111302421,11425531.0,10.0,4.1
isgyo,125928219,28278537.0,22.0,6.18
basgz,12575080,-3704916.0,-28.999999999999996,-12.77
aksgy,52005413,-1084220.0,-2.0,-0.2
ozkgy,33035651,4221798.0,13.0,1.64
dggyo,3464966,-75814.0,-2.0,-0.76
psgyo,778234980,-115419639.0,-15.0,-0.54
yggyo,50554271,15300850.0,30.0,71.58
akmgy,20165713,-1808029.0,-9.0,-23.07
asgyo,24422702,-1454900.0,-6.0,-0.66
hlgyo,107759472,2422684.0,2.0,0.1
adgyo,28745908,-2654262.0,-9.0,-5.03
akfgy,37853449,827472.0,2.0,0.06
tsgyo,14974355,2464381.0,16.0,0.96
surgy,630871662,35084584.0,6.0,2.89
klgyo,21023408,-674413.0,-3.0,-0.14
algyo,72397609,-9292273.0,-13.0,-0.43
kzbgy,76071900,14004332.0,18.0,0.37
sngyo,55684732,-1506826.0,-3.0,-0.09
vkgyo,19519333,-978338.0,-5.0,-0.1
pekgy,2951403592,-787115245.0,-27.0,-3.91
fzlgy,154060142,-22766762.0,-15.0,-1.5
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,149559944,-1880743.0,-1.0,-1.15
ekgyo,1356925558,-37420546.0,-3.0,-0.49
zrgyo,12504245,2339523.0,19.0,3.37
srvgy,22803434,-2239618.0,-10.0,-0.24
rygyo,111302421,11425531.0,10.0,4.1
isgyo,125928219,28278537.0,22.0,6.18
basgz,12575080,-3704916.0,-28.999999999999996,-12.77
aksgy,52005413,-1084220.0,-2.0,-0.2
ozkgy,33035651,4221798.0,13.0,1.64
dggyo,3464966,-75814.0,-2.0,-0.76
psgyo,778234980,-115419639.0,-15.0,-0.54
yggyo,50554271,15300850.0,30.0,71.58
akmgy,20165713,-1808029.0,-9.0,-23.07
asgyo,24422702,-1454900.0,-6.0,-0.66
hlgyo,107759472,2422684.0,2.0,0.1
adgyo,28745908,-2654262.0,-9.0,-5.03
akfgy,37853449,827472.0,2.0,0.06
tsgyo,14974355,2464381.0,16.0,0.96
surgy,630871662,35084584.0,6.0,2.89
klgyo,21023408,-674413.0,-3.0,-0.14
algyo,72397609,-9292273.0,-13.0,-0.43
kzbgy,76071900,14004332.0,18.0,0.37
sngyo,55684732,-1506826.0,-3.0,-0.09
vkgyo,19519333,-978338.0,-5.0,-0.1
pekgy,2951403592,-787115245.0,-27.0,-3.91
fzlgy,154060142,-22766762.0,-15.0,-1.5
