hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,759257936,18217578.0,2.0,1.97
asels,5595530284,720765229.0,13.0,18.13
reedr,1038029490,-35640029.0,-3.0,-0.37
miatk,677981257,65789878.0,10.0,3.24
sdttr,59881030,1811559.0,3.0,5.54
ingrm,19518319,304569.0,2.0,5.67
atatp,50032541,2660755.0,5.0,4.58
alctl,88793379,15570388.0,18.0,19.6
karel,66084229,-4932678.0,-7.000000000000001,-0.64
aztek,46549490,3716116.0,8.0,3.16
httbt,25560859,-232675.0,-1.0,-0.37
logo,115498396,-17271557.0,-15.0,-23.82
ardyz,57666648,9456117.0,16.0,4.63
indes,58971443,4453725.0,8.0,0.49
mobtl,162399417,-45351114.0,-28.000000000000004,-1.98
penta,34652109,5182368.0,15.0,2.0
netas,38355598,1424217.0,4.0,1.91
arena,48150743,-9779765.0,-20.0,-6.99
escom,43890667,2327647.0,5.0,0.14
papil,880271594,-78023939.0,-9.0,-3.61
forte,69348726,-7852460.0,-11.0,-8.36
link,110190752,53149444.0,48.0,280.24
vbtyz,75507897,9455403.0,13.0,2.6
fonet,80625176,7545047.0,9.0,1.32
mtrks,19928144,-1588510.0,-8.0,-1.55
edata,26960117,3815939.0,14.000000000000002,0.61
kfein,43654542,982067.0,2.0,2.14
pkart,86443342,-7762749.0,-9.0,-6.56
obase,39083608,7104961.0,18.0,5.82
kront,30254326,-647599.0,-2.0,-0.18
smart,26036457,-10449.0,-0.0,-0.01
dgate,30964326,-4046876.0,-13.0,-9.03
despc,20635066,727663.0,4.0,1.74
manas,29822586,-5781781.0,-19.0,-1.08
odine,175661883,6272329.0,4.0,2.79
patek,2634232870,-8896122.0,-0.0,-0.07
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,194047415,-7408025.0,-4.0,-2.47
ekgyo,3886918378,765695682.0,20.0,3.14
zrgyo,64170767,-16226942.0,-25.0,-6.08
srvgy,61367040,-5458661.0,-9.0,-0.25
rygyo,228080108,39734379.0,17.0,2.51
isgyo,147996340,-6168637.0,-4.0,-0.67
basgz,50277412,-3187690.0,-6.0,-2.32
aksgy,38996077,553399.0,1.0,0.09
ozkgy,74886094,10134241.0,14.000000000000002,1.5
dggyo,8086925,-777561.0,-10.0,-3.06
