hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,457578010,61023106.0,13.0,11.39
asels,3816092790,-499854712.0,-13.0,-15.8
reedr,343456044,18522455.0,5.0,0.67
miatk,1488447278,194717782.0,13.0,5.52
sdttr,413679845,-2563926.0,-1.0,-1.33
ingrm,17481348,-3333619.0,-19.0,-76.65
atatp,34056952,-7512946.0,-22.0,-17.83
alctl,54083791,-4604550.0,-9.0,-8.39
karel,30498043,-2543071.0,-8.0,-0.73
aztek,43848340,915241.0,2.0,0.84
httbt,58529177,-1373258.0,-2.0,-1.08
logo,124649697,10252053.0,8.0,9.4
ardyz,69758363,-6238696.0,-9.0,-2.31
indes,56067770,-8706125.0,-16.0,-1.07
mobtl,66124804,16278106.0,25.0,1.14
penta,39698444,-4612462.0,-12.0,-1.57
netas,32634333,-3953838.0,-12.0,-6.31
arena,80192114,-9535838.0,-12.0,-5.0
escom,30733643,-2317648.0,-8.0,-0.19
papil,224827554,-19976122.0,-9.0,-3.29
forte,47666523,-1557375.0,-3.0,-2.26
link,60060698,284855.0,0.0,2.61
vbtyz,36264976,-813682.0,-2.0,-0.43
fonet,270996059,-14696119.0,-5.0,-0.91
mtrks,28326409,-3540302.0,-12.0,-2.86
edata,18204854,-2129646.0,-12.0,-0.48
kfein,170252359,1557123.0,1.0,1.12
pkart,146672967,-7836849.0,-5.0,-3.59
obase,15867758,2031752.0,13.0,3.85
kront,17351808,-293211.0,-2.0,-0.26
smart,132338448,-26524405.0,-20.0,-5.95
dgate,21681110,2131489.0,10.0,5.04
despc,15668291,-858671.0,-5.0,-2.46
manas,193119687,26251887.0,14.000000000000002,1.61
odine,129953161,-17518370.0,-13.0,-15.93
patek,233695504,-11605764.0,-5.0,-3.34
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,88856965,8697459.0,10.0,5.8
ekgyo,1850630406,80001720.0,4.0,0.55
zrgyo,111483766,17070598.0,15.0,3.23
srvgy,79938432,4139360.0,5.0,0.16
rygyo,168671576,19543314.0,12.0,1.6
isgyo,80176390,4282007.0,5.0,0.84
basgz,13373006,-720949.0,-5.0,-1.5
aksgy,31947685,-4603136.0,-14.000000000000002,-0.96
ozkgy,37847931,-6212527.0,-16.0,-1.81
dggyo,7805871,-1074941.0,-14.000000000000002,-4.71
psgyo,371083694,14251727.0,4.0,0.07
yggyo,29482772,-3965602.0,-13.0,-10.66
akmgy,14556593,14930.0,0.0,0.23
asgyo,25976655,314279.0,1.0,0.13
hlgyo,98123100,11976683.0,12.0,0.32
adgyo,53291105,9970309.0,19.0,5.73
akfgy,72976824,2896300.0,4.0,0.08
tsgyo,243043745,-2451678.0,-1.0,-0.08
surgy,54561292,-12163615.0,-22.0,-8.98
klgyo,65896198,-6956735.0,-11.0,-0.52
algyo,25460353,18317.0,0.0,0.01
kzbgy,91624767,6325817.0,7.000000000000001,0.5
sngyo,80644066,-5698940.0,-7.000000000000001,-0.24
vkgyo,87413335,-9514073.0,-11.0,-0.22
pekgy,290362789,-9466943.0,-3.0,-0.05
fzlgy,176964954,-25599161.0,-14.000000000000002,-4.96
begyo,454107508,-46646355.0,-10.0,-1.75
segyo,136325270,10383177.0,8.0,0.42
pehol,1863326959,233094080.0,13.0,2.56
nugyo,15492644,-1253420.0,-8.0,-0.55
agyo,8654214,-1395420.0,-16.0,-0.99
dzgyo,124428379,-18615301.0,-15.0,-1.02
msgyo,10858763,-832948.0,-8.0,-0.32
mrgyo,150317390,2633428.0,2.0,0.03
krgyo,126553298,-13444773.0,-11.0,-1.34
ozgyo,20302776,-1143414.0,-6.0,-0.29
kgyo,20338261,1870599.0,9.0,0.28
ygyo,507750739,510913.0,0.0,0.01
avgyo,10715986,-1616835.0,-15.0,-1.3
tdgyo,27418620,-9223949.0,-34.0,-5.11
atagy,12127621,-214430.0,-2.0,-0.19
idgyo,9136049,475758.0,5.0,0.13
mhrgy,43994613,13772828.0,31.0,1.57
avpgy,70447825,-4476141.0,-6.0,-3.47
vrgyo,32944447,715631.0,2.0,0.05
kzgyo,20858326,-1067397.0,-5.0,-1.04
eygyo,22671621,3043323.0,13.0,0.32
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,2727246960,362169464.0,13.0,14.04
isctr,4926112677,46971932.0,1.0,0.11
halkb,1161253105,154381751.0,13.0,2.61
vakbn,1827029145,-48028133.0,-3.0,-0.57
akbnk,7321504588,271085201.0,4.0,1.82
skbnk,245283909,12678012.0,5.0,0.27
albrk,146462818,39257232.0,27.0,1.62
ykbnk,4893887633,-492842602.0,-10.0,-2.33
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,962539651,54824074.0,6.0,5.68
arclk,385126536,-20025170.0,-5.0,-6.83
