hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,333168251,8757933.0,3.0,2.0
asels,2549409449,190721236.0,7.000000000000001,12.78
reedr,399200646,54610260.0,14.000000000000002,1.4
miatk,942235540,165428513.0,18.0,6.72
sdttr,151835849,1810044.0,1.0,2.18
ingrm,13509959,1393194.0,10.0,42.29
atatp,109678923,-114122.0,-0.0,-0.11
alctl,55633498,2833532.0,5.0,5.44
karel,66586614,4305195.0,6.0,0.57
aztek,48224293,-2328181.0,-5.0,-2.08
httbt,43270899,7596526.0,18.0,8.53
logo,102209991,3462453.0,3.0,5.77
ardyz,57690647,186373.0,0.0,0.1
indes,51437317,-2589641.0,-5.0,-0.41
mobtl,58336419,-1627180.0,-3.0,-0.21
penta,101858249,15237328.0,15.0,2.59
netas,112522608,-6129562.0,-5.0,-3.26
arena,48884546,-1007824.0,-2.0,-0.72
escom,77204033,3636224.0,5.0,0.16
papil,251233418,26593341.0,11.0,2.09
forte,193375306,48585436.0,25.0,21.58
link,56620552,895174.0,2.0,9.45
vbtyz,132103718,-34654670.0,-26.0,-6.34
fonet,53918954,8218267.0,15.0,2.49
mtrks,41782222,11285220.0,27.0,6.64
edata,387125392,-105943821.0,-27.0,-1.88
kfein,158284023,13226119.0,8.0,0.94
pkart,16075164,-1402397.0,-9.0,-6.48
obase,41842656,-353096.0,-1.0,-0.34
kront,35724536,-3660692.0,-10.0,-1.34
smart,93288972,15910371.0,17.0,4.86
dgate,33490205,-3649878.0,-11.0,-8.87
despc,57034788,-13603969.0,-24.0,-14.08
manas,58893111,6735349.0,11.0,1.03
odine,491601406,22419333.0,5.0,6.56
patek,751080655,99612836.0,13.0,3.41
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,94880750,11741802.0,12.0,8.97
ekgyo,2881761445,264836449.0,9.0,1.75
zrgyo,33429035,2398409.0,7.000000000000001,1.71
srvgy,380278006,-48692431.0,-13.0,-0.48
rygyo,61067836,4887273.0,8.0,2.0
isgyo,156784318,-3508937.0,-2.0,-0.42
basgz,95358047,-7076242.0,-7.000000000000001,-2.68
aksgy,76411036,-11554950.0,-15.0,-1.09
ozkgy,136725628,7104714.0,5.0,0.74
