tekno,25766012861.9,-1747185555.2,-6.8,18,18
gyo,7981287553.7,488072578.5,6.1,27,19
banka,28233147144.0,1195808169.6,4.2,6,2
bist30,99715346378.9,676302505.7,0.7,15,10
harz,38338982288.0,-1021290947.1,-2.7,40,55
bist500,144603138648.8,885777187.8,0.6,197,191
enerji,9324874901.5,-62398521.1,-0.7,12,20
bist100,131965238728.9,710354523.0,0.5,48,42
fonlar,1565046730.9,-11727844.9,-0.7,3,6
fin_sigorta,5334766723.3,131726883.2,2.5,4,7
cim_ins,2087369159.2,-8364739.6,-0.4,10,12
bist_100_disi,40029255673.8,352328855.3,0.9,160,159
