tekno,8345387593.1,905567474.5,10.9,13,23
gyo,14903331649.7,-1854377950.9,-12.4,21,25
banka,27021015391.9,786542481.9,2.9,5,3
bist30,54970627280.4,1524562521.3,2.8,12,14
harz,15137427238.3,-721554975.5,-4.8,37,57
bist500,99733064143.3,-1678946614.4,-1.7,153,240
enerji,5096092007.3,-281575077.7,-5.5,11,21
bist100,82632942808.0,-1665185215.5,-2.0,34,58
fonlar,259432429.5,52768447.6,20.3,6,2
fin_sigorta,4071707156.4,850576793.6,20.9,5,6
cim_ins,3810794024.6,196248782.5,5.1,9,14
bist_100_disi,31192315175.4,-257973385.3,-0.8,124,198
