tekno,22262213764.0,326753126.0,1.5,23,13
gyo,14048656176.8,315612313.6,2.2,28,18
banka,51006619285.0,568008969.5,1.1,5,3
bist30,132483365244.0,11049867081.6,8.3,13,9
harz,40571023061.5,1166710616.5,2.9,65,30
bist500,192557140356.7,9793719471.4,5.1,262,128
enerji,12551798769.1,206964321.6,1.6,20,12
bist100,176223197293.9,13239090571.8,7.5,56,32
fonlar,3698811229.0,-83490389.1,-2.3,7,3
fin_sigorta,2453227013.5,431523214.4,17.6,9,2
cim_ins,4122043711.6,243285464.3,5.9,17,6
bist_100_disi,55267961566.7,762926937.1,1.4,220,102
