tekno,11057870739.4,-1065464947.7,-9.6,15,21
gyo,21843077905.7,-782306728.0,-3.6,25,21
banka,17190162950.2,757657233.6,4.4,4,4
bist30,58352738276.3,166555960.5,0.3,15,11
harz,22781309243.9,28431457.2,0.1,39,56
bist500,114395877336.0,737786778.3,0.6,216,180
enerji,6847466270.8,399372387.2,5.8,20,12
bist100,87517401633.6,47084119.5,0.1,52,40
fonlar,872470439.9,208964784.9,24.0,4,4
fin_sigorta,4835057279.9,1610284315.1,33.3,7,2
cim_ins,4271734242.0,8099541.6,0.2,9,14
bist_100_disi,43091824102.8,765816950.6,1.8,171,154
